,language,language_test,r
243,sp,no,0.5566470138339543
244,sp,tr,0.43775297205078867
245,sp,du,0.5971598881956238
246,sp,it,0.6057239119148393
247,sp,en,0.5482421130275793
248,sp,no,0.41777777991995935
249,sp,tr,0.4235258867943471
250,sp,du,0.5151426756414094
251,sp,it,0.610279970629905
252,sp,en,0.5784504876303743
253,sp,no,0.5675939550667095
254,sp,tr,0.26124160530000645
255,sp,du,0.3985220444902083
256,sp,it,0.5976423818808232
257,sp,en,0.5491630147742438
258,sp,no,0.5190773691865697
259,sp,tr,0.2131247791343908
260,sp,du,0.6164591220546406
261,sp,it,0.5313870821970044
262,sp,en,0.467681587232319
263,sp,no,0.5326293959098735
264,sp,tr,0.3144560814174172
265,sp,du,0.5416301798566971
266,sp,it,0.5558111133738854
267,sp,en,0.5399972018458538
268,sp,no,0.5242341884512209
269,sp,tr,0.3839874166329162
270,sp,du,0.5993785730092528
271,sp,it,0.6424459814815129
272,sp,en,0.5721523472278656
273,sp,no,0.5273289457897393
274,sp,tr,0.3735520765989973
275,sp,du,0.49202412913276117
276,sp,it,0.6422344093570946
277,sp,en,0.5833596122579617
278,sp,no,0.5240210725512469
279,sp,tr,0.3504342327547353
280,sp,du,0.640096716941924
281,sp,it,0.6418884912886741
282,sp,en,0.5528408765169691
283,sp,no,0.5800040680674272
284,sp,tr,0.2720423340621201
285,sp,du,0.48631301393293214
286,sp,it,0.6275640698261269
287,sp,en,0.49941002049559824
288,sp,no,0.5241988574009674
289,sp,tr,0.41351057800464913
290,sp,du,0.49580230645976936
291,sp,it,0.6184673071779226
292,sp,en,0.5660367524336323
293,sp,no,0.6032640052740769
294,sp,tr,0.39821730978373976
295,sp,du,0.5517910536513003
296,sp,it,0.6343596836745942
297,sp,en,0.5631833285879404
298,sp,no,0.6036423391448613
299,sp,tr,0.2777027868018106
300,tr,du,0.43211161638911416
301,tr,it,0.43155000717142605
302,tr,en,0.3658538163917146
303,tr,no,0.6058635007929376
304,tr,sp,0.3168685535163169
305,tr,du,0.352666175191328
306,tr,it,0.23129294683117485
307,tr,en,0.21968856584140456
308,tr,no,0.369906931543204
309,tr,sp,0.2223654636539296
310,tr,du,0.4524942663579593
311,tr,it,0.3724277634928311
312,tr,en,0.27550941632800113
313,tr,no,0.6174725615385291
314,tr,sp,0.3821670491594187
315,tr,du,0.32116167910778265
316,tr,it,0.449774626861672
317,tr,en,0.2258986263985822
318,tr,no,0.44352266546561037
319,tr,sp,0.3638049818111192
320,tr,du,0.3574631237615803
321,tr,it,0.322664886698489
322,tr,en,0.18954321968390858
323,tr,no,0.3638874893356987
324,tr,sp,0.2468477949807171
325,tr,du,0.32265773352963517
326,tr,it,0.35390116725785226
327,tr,en,0.24948959085802624
328,tr,no,0.3091545840811086
329,tr,sp,0.3756213915060057
330,tr,du,0.44356001435056647
331,tr,it,0.42168725885644404
332,tr,en,0.08310637515561412
333,tr,no,0.5051094711887744
334,tr,sp,0.3208218364801032
335,tr,du,0.45085790056069797
336,tr,it,0.5099096320458769
337,tr,en,0.37214790977328854
338,tr,no,0.5695611203193092
339,tr,sp,0.2801673767136666
340,tr,du,0.521222089521434
341,tr,it,0.5118516969112564
342,tr,en,0.2483857225760071
343,tr,no,0.44669346981660607
344,tr,sp,0.20463518727375332
345,tr,du,0.22789043759534275
346,tr,it,0.38289141747761746
347,tr,en,0.25232389498187086
348,tr,no,0.48423991129235805
349,tr,sp,0.27743755040864815
350,tr,du,0.5199672106772274
351,tr,it,0.40577463267450203
352,tr,en,0.24775191482964704
353,tr,no,0.5364671731260686
354,tr,sp,0.153756450314887
355,tr,du,0.4341365805316671
356,tr,it,0.3650032502713259
357,tr,en,0.18571647647696043
358,tr,no,0.4082090729894627
359,tr,sp,0.20871603310868575
