,language,language_test,r
74,it,tr,0.24417412206259675
75,it,du,0.5294378239936647
76,it,en,0.550808692353415
77,it,no,0.20894736697948588
78,it,sp,0.6721795928961884
79,it,tr,0.4458275768411459
80,it,du,0.3538845810480089
81,it,en,0.38410191188388565
82,it,no,0.3576440448492927
83,it,sp,0.5348147078447023
84,it,tr,0.41702184800115993
85,it,du,0.36743716287202527
86,it,en,0.4240965642647951
87,it,no,0.30308980859479484
88,it,sp,0.6161995604482361
89,it,tr,0.4085904857222223
90,it,du,0.3222515207822189
91,it,en,0.32615323526893597
92,it,no,0.16140079088674555
93,it,sp,0.5704806240082573
94,it,tr,0.38507287155465325
95,it,du,0.27682148126494677
96,it,en,0.45595161498806125
97,it,no,0.41779288019463545
98,it,sp,0.6012174923499207
99,it,tr,0.36087363204053424
100,it,du,0.418022268713175
101,it,en,0.3961026898837381
102,it,no,0.17913179419895756
103,it,sp,0.5447360469701461
104,it,tr,0.40241645752354643
105,it,du,0.3025302748395017
106,it,en,0.35331377059177965
107,it,no,0.33882272964332244
108,it,sp,0.5608784237637777
109,it,tr,0.36488181166137046
110,it,du,0.23891257725254963
111,it,en,0.4295302897184988
112,it,no,0.25877655288296963
113,it,sp,0.6692357938290432
114,it,tr,0.21013319548147863
115,it,du,0.31370813640330375
116,it,en,0.319602267765088
117,it,no,0.3021199674396455
118,it,sp,0.6503750536388075
119,it,tr,0.3369716265704955
120,en,du,0.26196940758302156
121,en,it,0.45427644921627097
122,en,no,0.39385429707222425
123,en,sp,0.4978768323057652
124,en,tr,0.30791661407652815
125,en,du,0.408535245976006
126,en,it,0.5433303817175202
127,en,no,0.4354308613270688
128,en,sp,0.5637641645923295
129,en,tr,0.2597875859207631
130,en,du,0.4459311604869357
131,en,it,0.5550253708408501
132,en,no,0.4664077323395304
133,en,sp,0.6167755476922248
134,en,tr,0.1501505688215153
135,en,du,0.5742901025080462
136,en,it,0.6006041866793943
137,en,no,0.28595163021750925
138,en,sp,0.6398348819952769
139,en,tr,0.31264692295323765
140,en,du,0.4648287190583971
141,en,it,0.5353745849797575
142,en,no,0.3745977061654909
143,en,sp,0.4659746551337214
144,en,tr,0.283988256860258
145,en,du,0.3569313171643727
