sentence,log-prob-pcfg_mean,rating_gram_mean,rating_frequency_mean,rating_conversational_mean,dep_length_mean,avg_word_freq_zipf,avg_word_length
The Clinton White House was silent.,-9.7478914285714,6.8461538461538,3.4705882352941,3.1666666666667,1.4285714285714286,5.798333333333335,4.833333333333333
The Weasel was an accomplished backstabber.,-11.2668828571429,6.5333333333333,2.7857142857143,3.5,1.7142857142857142,5.07,6.166666666666667
"The bag was leather, black, small.",-9.923147777777801,5.5384615384615,4.4117647058824,4.4166666666667,2.0,5.776666666666666,4.333333333333333
The bathroom needed a complete scrubbing.,-11.7886614285714,6.9230769230769,6.1176470588235,6.0833333333333,1.7142857142857142,5.5,5.833333333333333
The bill became law in April.,-8.8077842857143,6.875,4.4666666666667,4.9375,1.4285714285714286,5.991666666666667,3.8333333333333335
The boat was ready to sail.,-8.800462714285702,7.0,4.9411764705882,4.6111111111111,1.4285714285714286,5.996666666666667,3.5
The brick walls extended high up.,-12.00054,6.0,4.7058823529412,3.6666666666667,1.4285714285714286,5.5633333333333335,4.5
The brunette was licking her lips.,-10.51076,6.9411764705882,4.7647058823529,3.8125,1.4285714285714286,5.351666666666667,4.666666666666667
The bugs are eating me alive.,-10.3359471428571,7.0,5.5625,5.5,1.4285714285714286,5.766666666666667,3.8333333333333335
The building housed a great hall.,-9.7208642857143,6.8,4.2,2.8461538461538,1.7142857142857142,5.803333333333334,4.5
The ceremony will take place tonight.,-9.4868671428571,7.0,6.0,5.3076923076923,1.4285714285714286,5.876666666666668,5.166666666666667
The chief complaint for phonics advocates:,-13.5731942857143,5.0625,2.3571428571429,1.7647058823529,1.5714285714285714,5.121666666666667,6.0
The clinic was for AIDS patients.,-9.2665585714286,6.8823529411765,4.6923076923077,3.3333333333333,1.4285714285714286,5.821666666666668,4.5
The code's too easy to read.,-7.558525,6.6,4.2666666666667,4.9285714285714,1.75,6.125714285714286,3.142857142857143
The cold spring weather helped little.,-11.34288,6.1818181818182,4.7894736842105,3.875,1.4285714285714286,5.528333333333333,5.333333333333333
The control comes with ease now.,-10.0081542857143,6.5333333333333,3.8888888888889,3.8666666666667,1.5714285714285714,5.976666666666667,4.333333333333333
The courage to meet every challenge.,-10.3906657142857,6.5882352941176,4.4705882352941,3.8333333333333,1.7142857142857142,5.903333333333333,5.0
"The court continued on, as expected.",-9.077745,6.6,4.2142857142857,4.0,1.875,6.123333333333334,4.833333333333333
The crowd burst into spontaneous applause.,-12.2098485714286,6.8666666666667,4.8571428571429,3.2857142857143,1.4285714285714286,5.038333333333333,6.0
The crowd burst into sudden cacophony.,-11.9957842857143,6.2352941176471,2.4705882352941,2.5,1.4285714285714286,4.949999999999999,5.333333333333333
The drawstring just completes the fit.,-10.7938028571429,6.25,3.4,5.3125,1.4285714285714286,5.498333333333334,5.333333333333333
The economy everywhere was in crisis.,-9.9491128571429,6.2352941176471,4.5294117647059,3.7222222222222,1.2857142857142858,5.995,5.166666666666667
The emperor of the despondent kingdom.,-11.7802557142857,6.3076923076923,2.7647058823529,1.9166666666667,1.8571428571428572,5.735,5.333333333333333
"The evidence is contradictory, at best.",-9.26193875,6.6,5.1333333333333,4.8461538461538,1.875,5.993333333333333,5.333333333333333
The experience had shaken him emotionally.,-10.9134285714286,6.7222222222222,5.4117647058824,4.4705882352941,1.4285714285714286,5.513333333333333,6.0
The fifth character is Mr. Globe.,-9.6562314285714,6.75,2.4117647058824,3.0666666666667,1.4285714285714286,5.776666666666667,4.5
The figures mark a significant turnaround.,-8.9788757142857,6.5882352941176,3.9411764705881995,3.125,1.7142857142857142,5.541666666666667,6.0
The first floor had retail shops.,-8.64946,6.9411764705882,6.125,4.6666666666667,1.4285714285714286,5.666666666666667,4.5
The four of them silently embraced.,-11.7077857142857,6.8666666666667,3.5,3.4285714285714,1.2857142857142858,5.696666666666668,4.833333333333333
The gene heavily influences brain wiring.,-11.3212071428571,6.625,3.5714285714286,2.3529411764706,1.4285714285714286,4.858333333333333,5.833333333333333
The glass in the frame broke.,-9.7040871428571,7.0,5.4705882352941,5.75,1.4285714285714286,6.168333333333334,3.8333333333333335
The great wheel began to turn.,-9.4774628571429,6.9333333333333,3.0,3.5,1.4285714285714286,5.988333333333333,4.0
The hairs on my skin rose.,-11.4630328571429,6.75,5.0,5.1538461538462,1.4285714285714286,5.785,3.3333333333333335
"The healthiest, most nutritious food ever.",-12.55837375,6.1666666666667,5.7647058823529,4.5882352941176,1.875,5.163333333333333,5.833333333333333
The hesitant rhythm of the band.,-11.7663028571429,6.0,3.5555555555556,2.4666666666667,1.5714285714285714,5.873333333333334,4.333333333333333
The homeless woman obviously loved animals.,-12.32826,6.875,3.5333333333333,4.1875,1.2857142857142858,5.33,6.166666666666667
The inside was circular in shape.,-10.7475928571429,6.7777777777778,4.7647058823529,3.4705882352941,1.2857142857142858,5.948333333333334,4.5
"The invisible girl, the unknown princess.",-11.1690725,5.5333333333333,2.1333333333333,2.2142857142857,2.0,5.665,5.666666666666667
"The judge spoke, breaking the silence.",-10.61776625,6.7222222222222,5.0714285714286,3.6428571428571,1.625,5.703333333333333,5.166666666666667
The kids play in the street.,-8.5374185714286,6.9333333333333,6.1333333333333,4.3846153846154,1.4285714285714286,6.483333333333334,3.6666666666666665
The large restaurant was cafeteria style.,-10.097848571428601,6.4666666666667,5.0,4.0,1.4285714285714286,5.528333333333333,5.833333333333333
The last time we'd had four.,-10.16151875,5.4666666666667,3.3571428571429,5.1428571428571,1.5,6.248571428571429,3.142857142857143
The liquid was indeed fresh water.,-11.1113528571429,6.6666666666667,3.7857142857143,3.5,1.5714285714285714,5.68,4.666666666666667
The military forces of the colony.,-9.8988642857143,5.0,3.3846153846154,1.8666666666667,1.5714285714285714,6.193333333333334,4.666666666666667
The movie was a romantic comedy.,-8.2283214285714,6.8888888888889,6.6470588235294,6.0588235294118,1.7142857142857142,6.001666666666666,4.333333333333333
The movie was entertaining and funny.,-8.3054328571429,6.9375,6.3571428571429,6.1176470588235,1.4285714285714286,6.041666666666667,5.166666666666667
The music drums inside my head.,-10.9129328571429,6.2941176470588,4.0714285714286,4.2307692307692,1.5714285714285714,5.741666666666667,4.166666666666667
The mutant allele lacks exon 14.,-13.756518571428598,5.0,1.1764705882353,1.0666666666667,1.2857142857142858,4.340000000000001,4.333333333333333
The neatly trimmed beard and moustache.,-13.1592928571429,6.1538461538462,4.1176470588235,2.9166666666667,1.5714285714285714,4.901666666666667,5.5
"The next day, he was gone.",-7.61072625,6.6,5.2666666666667,5.7142857142857,1.5,6.343333333333334,3.1666666666666665
The next house is kilometres away.,-9.9117357142857,6.75,3.8571428571429,4.2941176470588,1.4285714285714286,5.933333333333334,4.666666666666667
The northernmost mountains in central Germany.,-11.2094457142857,6.6,3.7777777777778,3.2,1.5714285714285714,5.373333333333334,6.666666666666667
The official diagnosis was a stroke.,-9.0702885714286,7.0,4.6428571428571,5.7142857142857,1.4285714285714286,5.919999999999999,5.0
The one in jail for murder.,-11.0339242857143,5.7272727272727,4.4736842105263,4.125,1.7142857142857142,6.326666666666667,3.5
The one seen at the murder?,-10.5756042857143,5.8235294117647,3.5882352941176,4.875,1.5714285714285714,6.501666666666666,3.5
The ones who refuse to quit.,-10.4497998571429,5.75,4.4705882352941,4.7333333333333,1.7142857142857142,5.916666666666667,3.6666666666666665
The pancakes are to die for.,-10.28131,6.6111111111111,6.1428571428571,6.2857142857143,1.4285714285714286,6.261666666666667,3.6666666666666665
The pastor proclaimed to the congregation.,-11.1716557142857,5.9411764705882,3.4705882352941,3.5555555555556,1.4285714285714286,5.759999999999999,6.0
The place is chill and comfortable.,-8.535355714285702,6.5454545454545,5.6842105263158,5.1875,1.4285714285714286,6.126666666666668,4.833333333333333
The problem is the surveillance cameras.,-8.5308171428571,6.7333333333333,5.1111111111111,5.3333333333333,1.7142857142857142,6.073333333333333,5.666666666666667
The product is available as download-version.,-8.6836571428571,5.5,4.0666666666667,4.25,1.7777777777777777,5.935714285714286,5.428571428571429
The promise of big business profits.,-10.0038971428571,5.6363636363636,4.6842105263158,3.0,1.8571428571428572,5.905000000000001,5.0
The protracted silence became almost unbearable.,-11.8980385714286,6.8666666666667,3.1428571428571,2.7142857142857,1.4285714285714286,4.91,7.0
The redemption date is March 1.,-9.3039814285714,6.9166666666667,3.5625,4.6923076923077,1.2857142857142858,5.8500000000000005,4.166666666666667
The remaining 10% is net profit.,-8.34285125,7.0,4.875,5.3333333333333,1.625,5.701666666666667,4.166666666666667
The seemingly impossible can be attained.,-11.2180785714286,6.5,4.8666666666667,3.5714285714286,1.4285714285714286,5.571666666666666,5.833333333333333
The service at Instep was great!!,-12.316245,6.4666666666667,2.8666666666667,4.3571428571429,1.5,5.79,4.333333333333333
The show was at Shippensburg University.,-9.1490414285714,6.9,2.6,4.2857142857143,1.4285714285714286,5.726666666666667,5.666666666666667
The signal was one of power.,-7.8037537142857,6.75,4.0,2.8666666666667,1.2857142857142858,6.426666666666667,3.6666666666666665
The situation involved some political perils.,-10.1500871428571,6.6666666666667,4.1764705882353,3.9333333333333,1.7142857142857142,5.420000000000001,6.5
The sky was bright and blue.,-8.8267842857143,6.8,6.4666666666667,4.3571428571429,1.4285714285714286,6.07,3.6666666666666665
The slick slide of moist flesh.,-12.8864828571429,5.8666666666667,1.8571428571429,2.0,1.5714285714285714,5.171666666666667,4.166666666666667
The small flock of birds circled.,-11.1607557142857,6.3529411764706,5.375,3.4666666666667,1.2857142857142858,5.3500000000000005,4.5
The sometimes cruel and hateful road.,-13.9355971428571,5.5882352941176,2.8571428571429,3.4615384615385,1.8571428571428572,5.550000000000001,5.166666666666667
The stewardesses are furious with them.,-9.2378742857143,6.6666666666667,3.5714285714286,4.8571428571429,1.2857142857142858,5.599999999999999,5.5
The terror camp was never built.,-10.4668628571429,6.6363636363636,3.2105263157895,3.0625,1.4285714285714286,5.763333333333333,4.333333333333333
The two companies declined to comment.,-6.81416,6.9166666666667,6.2352941176471,3.9333333333333,1.4285714285714286,5.921666666666667,5.333333333333333
The victim is a 17-year-old girl.,-9.5185642857143,6.9166666666667,5.875,5.6923076923077,2.727272727272727,6.141249999999999,3.125
The voice had a muffled sound.,-10.1193114285714,6.8823529411765,4.7058823529412,4.3888888888889,1.7142857142857142,5.78,4.0
The weather was warm and dry.,-8.3843114285714,7.0,6.2857142857143,6.0588235294118,1.4285714285714286,6.046666666666667,3.8333333333333335
The wind blew cold and colder.,-11.0371471428571,5.0909090909091,4.875,4.0,1.4285714285714286,5.443333333333334,4.0
