>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
[WITHIN-SPLIT] Processing all (6/6)
WITHIN-SPLIT xglm_small | fROI=all | layer=0 | mean r=-0.216
WITHIN-SPLIT xglm_small | fROI=all | layer=1 | mean r=-0.202
WITHIN-SPLIT xglm_small | fROI=all | layer=2 | mean r=-0.177
WITHIN-SPLIT xglm_small | fROI=all | layer=3 | mean r=-0.169
WITHIN-SPLIT xglm_small | fROI=all | layer=4 | mean r=-0.085
WITHIN-SPLIT xglm_small | fROI=all | layer=5 | mean r=-0.157
WITHIN-SPLIT xglm_small | fROI=all | layer=6 | mean r=-0.181
WITHIN-SPLIT xglm_small | fROI=all | layer=7 | mean r=-0.143
WITHIN-SPLIT xglm_small | fROI=all | layer=8 | mean r=-0.175
WITHIN-SPLIT xglm_small | fROI=all | layer=9 | mean r=-0.198
WITHIN-SPLIT xglm_small | fROI=all | layer=10 | mean r=-0.191
WITHIN-SPLIT xglm_small | fROI=all | layer=11 | mean r=-0.137
WITHIN-SPLIT xglm_small | fROI=all | layer=12 | mean r=-0.166
WITHIN-SPLIT xglm_small | fROI=all | layer=13 | mean r=-0.167
WITHIN-SPLIT xglm_small | fROI=all | layer=14 | mean r=-0.164
WITHIN-SPLIT xglm_small | fROI=all | layer=15 | mean r=-0.193
WITHIN-SPLIT xglm_small | fROI=all | layer=16 | mean r=-0.033
WITHIN-SPLIT xglm_small | fROI=all | layer=17 | mean r=-0.088
WITHIN-SPLIT xglm_small | fROI=all | layer=18 | mean r=-0.098
WITHIN-SPLIT xglm_small | fROI=all | layer=19 | mean r=-0.136
WITHIN-SPLIT xglm_small | fROI=all | layer=20 | mean r=-0.132
WITHIN-SPLIT xglm_small | fROI=all | layer=21 | mean r=-0.186
WITHIN-SPLIT xglm_small | fROI=all | layer=22 | mean r=-0.184
WITHIN-SPLIT xglm_small | fROI=all | layer=23 | mean r=-0.171
WITHIN-SPLIT xglm_small | fROI=all | layer=24 | mean r=-0.183


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=0 | mean r=-0.065
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=1 | mean r=-0.040
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.013
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=3 | mean r=-0.034
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=4 | mean r=-0.064
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=5 | mean r=-0.040
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.004
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=7 | mean r=-0.049
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=8 | mean r=-0.041
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=9 | mean r=-0.046
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=10 | mean r=-0.114
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.016
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=12 | mean r=-0.009
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=13 | mean r=-0.030
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=14 | mean r=-0.027
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=15 | mean r=-0.037
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=16 | mean r=-0.027
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=17 | mean r=-0.016
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=18 | mean r=-0.053
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=19 | mean r=-0.018
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.040
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.019
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=22 | mean r=-0.042
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=23 | mean r=-0.037
WITHIN-SPLIT xglm_med | fROI=Lang_LH_AntTemp | layer=24 | mean r=-0.014


[WITHIN-SPLIT] Processing Lang_LH_IFG (2/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=0 | mean r=-0.134
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=1 | mean r=-0.118
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=2 | mean r=-0.046
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=3 | mean r=-0.064
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=4 | mean r=-0.130
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=5 | mean r=-0.136
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=6 | mean r=-0.113
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=7 | mean r=-0.126
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=8 | mean r=-0.117
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=9 | mean r=-0.112
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=10 | mean r=-0.150
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=11 | mean r=-0.017
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=12 | mean r=-0.078
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=13 | mean r=-0.171
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=14 | mean r=-0.140
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=15 | mean r=-0.115
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=16 | mean r=-0.127
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=17 | mean r=-0.118
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=18 | mean r=-0.066
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=19 | mean r=-0.120
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=20 | mean r=-0.023
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=21 | mean r=-0.103
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=22 | mean r=-0.096
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=23 | mean r=-0.081
WITHIN-SPLIT xglm_med | fROI=Lang_LH_IFG | layer=24 | mean r=-0.101
