>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: RH
>>> Loaded fMRI data
Processing - RH mode
Encoding for xglm_small already done
Encoding for xglm_med already done
Encoding for xglm_large already done
Encoding for xglm_xl already done
Encoding for bert_base already done
Encoding for distilmbert already done
Encoding for xlmr_base already done
Encoding for xlmr_large already done
Encoding for mt5_small already done
Encoding for mt5_base already done
Encoding for mt5_large already done
Encoding for mdeberta already done
Encoding for xlm_align already done
Encoding for infoxlm_base already done
Encoding for infoxlm_large already done
Encoding for multiminilm already done
Encoding for nllb200_distilled_600M already done


Processing Lang_RH_AntTemp (1/6)
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=1 | mean r=0.036
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=2 | mean r=0.034
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=3 | mean r=0.038
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=4 | mean r=0.038
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=5 | mean r=0.045
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=6 | mean r=0.031
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=7 | mean r=0.017
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=8 | mean r=0.030
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=9 | mean r=0.035
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=10 | mean r=0.033
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=11 | mean r=0.035
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=12 | mean r=0.035
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=13 | mean r=0.024
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=14 | mean r=0.039
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=15 | mean r=0.053
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=16 | mean r=0.050
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=17 | mean r=0.055
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=18 | mean r=0.050
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=19 | mean r=0.049
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=20 | mean r=0.039
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=21 | mean r=0.043
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=22 | mean r=0.030
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=23 | mean r=0.020
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=24 | mean r=0.012


Processing Lang_RH_PostTemp (5/6)
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=0 | mean r=0.066
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=1 | mean r=0.053
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=2 | mean r=0.081
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=3 | mean r=0.070
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=4 | mean r=0.071
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=5 | mean r=0.081
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=6 | mean r=0.077
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=7 | mean r=0.084
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=8 | mean r=0.098
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=9 | mean r=0.108
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=10 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=11 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=12 | mean r=0.124
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=13 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=14 | mean r=0.119
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=15 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=16 | mean r=0.125
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=17 | mean r=0.125
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=18 | mean r=0.131
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=19 | mean r=0.129
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=20 | mean r=0.123
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=21 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=22 | mean r=0.118
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=23 | mean r=0.116
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_PostTemp | layer=24 | mean r=0.102


Processing all (6/6)
WITHIN     nllb200_distilled_1B | fROI=all | layer=0 | mean r=0.068
WITHIN     nllb200_distilled_1B | fROI=all | layer=1 | mean r=0.093
WITHIN     nllb200_distilled_1B | fROI=all | layer=2 | mean r=0.106
WITHIN     nllb200_distilled_1B | fROI=all | layer=3 | mean r=0.104
WITHIN     nllb200_distilled_1B | fROI=all | layer=4 | mean r=0.117
WITHIN     nllb200_distilled_1B | fROI=all | layer=5 | mean r=0.103
WITHIN     nllb200_distilled_1B | fROI=all | layer=6 | mean r=0.093
WITHIN     nllb200_distilled_1B | fROI=all | layer=7 | mean r=0.086
WITHIN     nllb200_distilled_1B | fROI=all | layer=8 | mean r=0.096
WITHIN     nllb200_distilled_1B | fROI=all | layer=9 | mean r=0.095
WITHIN     nllb200_distilled_1B | fROI=all | layer=10 | mean r=0.094
WITHIN     nllb200_distilled_1B | fROI=all | layer=11 | mean r=0.092
WITHIN     nllb200_distilled_1B | fROI=all | layer=12 | mean r=0.102
WITHIN     nllb200_distilled_1B | fROI=all | layer=13 | mean r=0.105
WITHIN     nllb200_distilled_1B | fROI=all | layer=14 | mean r=0.099
WITHIN     nllb200_distilled_1B | fROI=all | layer=15 | mean r=0.102
WITHIN     nllb200_distilled_1B | fROI=all | layer=16 | mean r=0.113
WITHIN     nllb200_distilled_1B | fROI=all | layer=17 | mean r=0.109
WITHIN     nllb200_distilled_1B | fROI=all | layer=18 | mean r=0.114
WITHIN     nllb200_distilled_1B | fROI=all | layer=19 | mean r=0.106
WITHIN     nllb200_distilled_1B | fROI=all | layer=20 | mean r=0.113
WITHIN     nllb200_distilled_1B | fROI=all | layer=21 | mean r=0.101
WITHIN     nllb200_distilled_1B | fROI=all | layer=22 | mean r=0.100
WITHIN     nllb200_distilled_1B | fROI=all | layer=23 | mean r=0.081
WITHIN     nllb200_distilled_1B | fROI=all | layer=24 | mean r=0.077


Processing Lang_RH_AntTemp (1/6)
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=0 | mean r=0.063
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=1 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=2 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=3 | mean r=0.051
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=4 | mean r=0.064
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=5 | mean r=0.075
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=6 | mean r=0.093
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=7 | mean r=0.100
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=8 | mean r=0.095
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=9 | mean r=0.124
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=10 | mean r=0.111
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=11 | mean r=0.128
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=12 | mean r=0.117
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=13 | mean r=0.129
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=14 | mean r=0.124
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=15 | mean r=0.100
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=16 | mean r=0.105
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=17 | mean r=0.104
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=18 | mean r=0.099
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=19 | mean r=0.105
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=20 | mean r=0.117
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=21 | mean r=0.123
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=22 | mean r=0.113
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=23 | mean r=0.108
WITHIN     nllb200_1B | fROI=Lang_RH_AntTemp | layer=24 | mean r=0.119


Processing Lang_RH_IFG (2/6)
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=0 | mean r=0.097
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=1 | mean r=0.089
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=2 | mean r=0.111
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=3 | mean r=0.111
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=4 | mean r=0.105
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=5 | mean r=0.101
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=6 | mean r=0.095
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=7 | mean r=0.117
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=8 | mean r=0.116
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=9 | mean r=0.114
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=10 | mean r=0.114
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=11 | mean r=0.126
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=12 | mean r=0.138
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=13 | mean r=0.137
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=14 | mean r=0.132
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=15 | mean r=0.125
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=16 | mean r=0.120
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=17 | mean r=0.127
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=18 | mean r=0.142
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=19 | mean r=0.129
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=20 | mean r=0.123
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=21 | mean r=0.122
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=22 | mean r=0.118
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=23 | mean r=0.124
WITHIN     nllb200_1B | fROI=Lang_RH_IFG | layer=24 | mean r=0.125


Processing Lang_RH_IFGorb (3/6)
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=0 | mean r=0.080
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=1 | mean r=0.094
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=2 | mean r=0.113
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=3 | mean r=0.110
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=4 | mean r=0.100
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=5 | mean r=0.085
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=6 | mean r=0.074
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=7 | mean r=0.066
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=8 | mean r=0.047
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=9 | mean r=0.052
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=10 | mean r=0.054
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=11 | mean r=0.061
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=12 | mean r=0.057
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=13 | mean r=0.058
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=14 | mean r=0.061
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=15 | mean r=0.057
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=16 | mean r=0.053
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=17 | mean r=0.044
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=18 | mean r=0.053
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=19 | mean r=0.036
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=20 | mean r=0.034
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=21 | mean r=0.028
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=22 | mean r=0.021
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=23 | mean r=0.024
WITHIN     nllb200_1B | fROI=Lang_RH_IFGorb | layer=24 | mean r=0.015


Processing Lang_RH_MFG (4/6)
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=0 | mean r=0.032
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=1 | mean r=0.042
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=2 | mean r=0.056
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=3 | mean r=0.058
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=4 | mean r=0.056
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=5 | mean r=0.054
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=6 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=7 | mean r=0.053
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=8 | mean r=0.047
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=9 | mean r=0.037
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=10 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=11 | mean r=0.062
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=12 | mean r=0.058
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=13 | mean r=0.058
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=14 | mean r=0.064
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=15 | mean r=0.067
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=16 | mean r=0.056
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=17 | mean r=0.060
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=18 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=19 | mean r=0.050
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=20 | mean r=0.046
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=21 | mean r=0.047
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=22 | mean r=0.045
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=23 | mean r=0.038
WITHIN     nllb200_1B | fROI=Lang_RH_MFG | layer=24 | mean r=0.043


Processing Lang_RH_PostTemp (5/6)
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=0 | mean r=0.074
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=1 | mean r=0.055
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=2 | mean r=0.035
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=3 | mean r=0.031
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=4 | mean r=0.021
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=5 | mean r=0.040
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=6 | mean r=0.036
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=7 | mean r=0.042
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=8 | mean r=0.043
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=9 | mean r=0.055
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=10 | mean r=0.047
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=11 | mean r=0.054
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=12 | mean r=0.063
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=13 | mean r=0.066
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=14 | mean r=0.067
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=15 | mean r=0.051
WITHIN     nllb200_1B | fROI=Lang_RH_PostTemp | layer=16 | mean r=0.046
