>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-within
>>> Loaded fMRI data
Processing - native mode (within)


Processing Lang_LH_AntTemp (1/6)
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=21 | mean r=0.178
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.171
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.166
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.173


Processing Lang_LH_MFG (4/6)
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=0 | mean r=0.178
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=1 | mean r=0.113
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=2 | mean r=0.124
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=3 | mean r=0.133
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=4 | mean r=0.116
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=5 | mean r=0.129
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=6 | mean r=0.133
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=7 | mean r=0.133
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=8 | mean r=0.136
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=9 | mean r=0.154
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=10 | mean r=0.152
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=11 | mean r=0.130
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=12 | mean r=0.154
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=13 | mean r=0.160
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=14 | mean r=0.171
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=15 | mean r=0.191
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=16 | mean r=0.183
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=17 | mean r=0.198
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=18 | mean r=0.206
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=19 | mean r=0.195
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=20 | mean r=0.209
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=21 | mean r=0.211
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=22 | mean r=0.209
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=23 | mean r=0.212
WITHIN     xglm_med | fROI=Lang_LH_MFG | layer=24 | mean r=0.202


