>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.173
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=25 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=26 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=27 | mean r=0.163
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=28 | mean r=0.176
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=29 | mean r=0.172
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=30 | mean r=0.176
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=31 | mean r=0.163
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=32 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=33 | mean r=0.171
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=34 | mean r=0.184
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=35 | mean r=0.184
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=36 | mean r=0.186
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=37 | mean r=0.188
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=38 | mean r=0.174
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=39 | mean r=0.183
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=40 | mean r=0.175
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=41 | mean r=0.158
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=42 | mean r=0.162
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=43 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=44 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=45 | mean r=0.147
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=46 | mean r=0.144
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=47 | mean r=0.145
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=48 | mean r=0.131


[WITHIN-SPLIT] Processing Lang_LH_MFG (4/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=0 | mean r=0.034
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=1 | mean r=0.046
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=2 | mean r=0.027
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=3 | mean r=0.016
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=4 | mean r=0.020
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=5 | mean r=0.046
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=6 | mean r=0.057
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=7 | mean r=0.055
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=8 | mean r=0.085
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=9 | mean r=0.094
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=10 | mean r=0.094
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=11 | mean r=0.111
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=12 | mean r=0.133
