>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-across
>>> Loaded fMRI data
Processing - native mode (across)


Processing Lang_LH_AntTemp (1/6)
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=19 | mean r=0.041
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=20 | mean r=0.041
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=21 | mean r=0.037
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=22 | mean r=0.037
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=23 | mean r=0.043
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=24 | mean r=0.044


Processing Lang_LH_IFGorb (3/6)
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=0 | mean r=0.078
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=1 | mean r=0.064
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.060
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=3 | mean r=0.056
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=4 | mean r=0.055
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=5 | mean r=0.057
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=6 | mean r=0.062
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=7 | mean r=0.066
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=8 | mean r=0.070
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=9 | mean r=0.068
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=10 | mean r=0.078
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=11 | mean r=0.088
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=12 | mean r=0.090
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=13 | mean r=0.093
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=14 | mean r=0.096
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=15 | mean r=0.104
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=16 | mean r=0.102
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=17 | mean r=0.095
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=18 | mean r=0.090
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=19 | mean r=0.080
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=20 | mean r=0.081
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=21 | mean r=0.078
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.076
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.080
ACROSS     xglm_med | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.077


Processing Lang_LH_MFG (4/6)
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=0 | mean r=0.108
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=1 | mean r=0.160
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=2 | mean r=0.167
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=3 | mean r=0.167
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=4 | mean r=0.173
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=5 | mean r=0.177
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=6 | mean r=0.175
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=7 | mean r=0.181
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=8 | mean r=0.186
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=9 | mean r=0.188
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=10 | mean r=0.195
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=11 | mean r=0.205
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=12 | mean r=0.204
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=13 | mean r=0.208
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=14 | mean r=0.213
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=15 | mean r=0.224
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=16 | mean r=0.217
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=17 | mean r=0.202
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=18 | mean r=0.191
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=19 | mean r=0.177
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=20 | mean r=0.163
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=21 | mean r=0.156
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=22 | mean r=0.147
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=23 | mean r=0.152
ACROSS     xglm_med | fROI=Lang_LH_MFG | layer=24 | mean r=0.146


Processing Lang_LH_PostTemp (5/6)
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=0 | mean r=0.085
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=1 | mean r=0.105
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=2 | mean r=0.117
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=3 | mean r=0.113
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=4 | mean r=0.129
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=5 | mean r=0.135
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=6 | mean r=0.142
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=7 | mean r=0.168
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=8 | mean r=0.176
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=9 | mean r=0.183
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=10 | mean r=0.188
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=11 | mean r=0.199
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=12 | mean r=0.203
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=13 | mean r=0.206
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=14 | mean r=0.207
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=15 | mean r=0.228
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=16 | mean r=0.221
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=17 | mean r=0.215
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=18 | mean r=0.210
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=19 | mean r=0.199
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=20 | mean r=0.190
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=21 | mean r=0.184
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=22 | mean r=0.179
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=23 | mean r=0.172
ACROSS     xglm_med | fROI=Lang_LH_PostTemp | layer=24 | mean r=0.170


Processing all (6/6)
ACROSS     xglm_med | fROI=all | layer=0 | mean r=0.063
ACROSS     xglm_med | fROI=all | layer=1 | mean r=0.075
ACROSS     xglm_med | fROI=all | layer=2 | mean r=0.084
ACROSS     xglm_med | fROI=all | layer=3 | mean r=0.081
ACROSS     xglm_med | fROI=all | layer=4 | mean r=0.092
ACROSS     xglm_med | fROI=all | layer=5 | mean r=0.098
ACROSS     xglm_med | fROI=all | layer=6 | mean r=0.107
ACROSS     xglm_med | fROI=all | layer=7 | mean r=0.115
ACROSS     xglm_med | fROI=all | layer=8 | mean r=0.125
ACROSS     xglm_med | fROI=all | layer=9 | mean r=0.124
ACROSS     xglm_med | fROI=all | layer=10 | mean r=0.133
ACROSS     xglm_med | fROI=all | layer=11 | mean r=0.144
ACROSS     xglm_med | fROI=all | layer=12 | mean r=0.148
ACROSS     xglm_med | fROI=all | layer=13 | mean r=0.156
ACROSS     xglm_med | fROI=all | layer=14 | mean r=0.164
ACROSS     xglm_med | fROI=all | layer=15 | mean r=0.176
ACROSS     xglm_med | fROI=all | layer=16 | mean r=0.178
ACROSS     xglm_med | fROI=all | layer=17 | mean r=0.173
ACROSS     xglm_med | fROI=all | layer=18 | mean r=0.161
ACROSS     xglm_med | fROI=all | layer=19 | mean r=0.147
ACROSS     xglm_med | fROI=all | layer=20 | mean r=0.140
ACROSS     xglm_med | fROI=all | layer=21 | mean r=0.140
ACROSS     xglm_med | fROI=all | layer=22 | mean r=0.132
ACROSS     xglm_med | fROI=all | layer=23 | mean r=0.130
ACROSS     xglm_med | fROI=all | layer=24 | mean r=0.126


Processing Lang_LH_AntTemp (1/6)
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.084
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=1 | mean r=0.111
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.118
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=3 | mean r=0.127
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=4 | mean r=0.132
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.131
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.140
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.148
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.148
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.153
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.160
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.166
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.167
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.168
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.175
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.174
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.182
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.181
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.184
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.188
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.186
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.195
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.193
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.190
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.188
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=25 | mean r=0.187
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=26 | mean r=0.189
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=27 | mean r=0.189
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=28 | mean r=0.195
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=29 | mean r=0.193
ACROSS     xglm_large | fROI=Lang_LH_AntTemp | layer=30 | mean r=0.190
