model,fold,comparison,r_test,r_ref,z,p_two
mdeberta,4,syntax_ablated vs intact,0.07026093873248115,0.39302383136724206,-1.6364520168758707,0.10174502022365983
mdeberta,0,semantics_ablated vs syntax_ablated,0.16867108706335804,0.10554028418452302,0.30530399249932677,0.7601346354362768
mdeberta,1,semantics_ablated vs syntax_ablated,0.10846292699814461,0.1458491286162392,-0.18027551893067378,0.8569362738553958
mdeberta,2,semantics_ablated vs syntax_ablated,0.1311369136776942,0.13838885111586288,-0.035035403710552956,0.9720515101145824
mdeberta,3,semantics_ablated vs syntax_ablated,0.23332491436154365,0.16159166898200444,0.35424941365187623,0.7231519747228148
mdeberta,4,semantics_ablated vs syntax_ablated,0.12911372637209928,0.07026093873248115,0.28205088348450325,0.7779044940649136
mt5_base,0,semantics_ablated vs intact,0.1478059230911148,0.28693011977857075,-0.6940620833021278,0.4876432757666864
mt5_base,1,semantics_ablated vs intact,0.15381131909651613,0.36282956499156793,-1.0677374332482719,0.2856389678679525
mt5_base,2,semantics_ablated vs intact,0.1776527092984201,0.36690865503132675,-0.9737678840442471,0.3301718027153746
mt5_base,3,semantics_ablated vs intact,0.16175219476474872,0.48643019843908675,-1.7464686541019578,0.0807295492994835
mt5_base,4,semantics_ablated vs intact,0.12085548389404921,0.19783943753071226,-0.37489058613049947,0.7077418405331994
mt5_base,0,syntax_ablated vs intact,0.1914520639137547,0.28693011977857075,-0.48085765225138416,0.6306176720716385
mt5_base,1,syntax_ablated vs intact,0.09176798275956505,0.36282956499156793,-1.3666432970153903,0.17173713903741383
mt5_base,2,syntax_ablated vs intact,0.16951368046390083,0.36690865503132675,-1.013574348256401,0.3107859029672544
mt5_base,3,syntax_ablated vs intact,0.22537128974365672,0.48643019843908675,-1.4328234025452729,0.15190831158542317
mt5_base,4,syntax_ablated vs intact,0.06170677521111263,0.19783943753071226,-0.6579009642592245,0.5106017710163342
mt5_base,0,semantics_ablated vs syntax_ablated,0.1478059230911148,0.1914520639137547,-0.2132044310507436,0.8311675122466273
mt5_base,1,semantics_ablated vs syntax_ablated,0.15381131909651613,0.09176798275956505,0.29890586376711853,0.7650118728975812
mt5_base,2,semantics_ablated vs syntax_ablated,0.1776527092984201,0.16951368046390083,0.03980646421215399,0.9682474226217241
mt5_base,3,semantics_ablated vs syntax_ablated,0.16175219476474872,0.22537128974365672,-0.3136452515566849,0.7537904867191205
mt5_base,4,semantics_ablated vs syntax_ablated,0.12085548389404921,0.06170677521111263,0.28301037812872504,0.7771688815049917
bert_base,0,semantics_ablated vs intact,0.10227431961551975,0.3639245346203364,-1.3223173610598828,0.18606249402449304
bert_base,1,semantics_ablated vs intact,0.07219637562857321,0.49491015295687335,-2.2304508316196245,0.025717528180171145
bert_base,2,semantics_ablated vs intact,0.13005213415617844,0.41323292383183124,-1.464343694924495,0.14310006401895903
bert_base,3,semantics_ablated vs intact,0.21479581236826428,0.5124872678264878,-1.6502509003945283,0.09889163006870194
bert_base,4,semantics_ablated vs intact,0.03418921318103811,0.407665462956264,-1.8907524992159799,0.058657390736753134
