model,language,comparison,r_test,r_ref,z,p_two
bert_base,Russian,semantics_ablated vs syntax_ablated,-0.0711950670588552,0.1424961294764568,-1.7115806665715063,0.08697397371779636
distilmbert,Arabic,semantics_ablated vs intact,0.0426633829116717,-0.0615981865394968,0.831656728825751,0.40560273161290983
distilmbert,Arabic,syntax_ablated vs intact,0.0115585247280054,-0.0615981865394968,0.5835894048537882,0.5594965902026912
distilmbert,Arabic,semantics_ablated vs syntax_ablated,0.0426633829116717,0.0115585247280054,0.2480673239719629,0.8040823172360541
distilmbert,German,semantics_ablated vs intact,-0.039618433293686,0.1268121028171445,-1.3318682078622566,0.18290349967829878
distilmbert,German,syntax_ablated vs intact,-0.0153602747664652,0.1268121028171445,-1.138406785492999,0.2549506619756041
distilmbert,German,semantics_ablated vs syntax_ablated,-0.039618433293686,-0.0153602747664652,-0.19346142236925784,0.846597615778854
distilmbert,Hindi,semantics_ablated vs intact,-0.0236981031663766,0.0671960011923737,-0.725150305714158,0.46835982555322087
distilmbert,Hindi,syntax_ablated vs intact,-0.0550175497848862,0.0671960011923737,-0.975133022066053,0.3294942803132379
distilmbert,Hindi,semantics_ablated vs syntax_ablated,-0.0236981031663766,-0.0550175497848862,0.24998271635189503,0.8026007147343572
distilmbert,Italian,semantics_ablated vs intact,0.1752924236372924,0.1047429640994584,0.5736909587246038,0.5661769476085086
distilmbert,Italian,syntax_ablated vs intact,0.2002884705978696,0.1047429640994584,0.780170554761928,0.435290491600671
distilmbert,Italian,semantics_ablated vs syntax_ablated,0.1752924236372924,0.2002884705978696,-0.20647959603732405,0.8364163013475832
distilmbert,Korean,semantics_ablated vs intact,-0.076735659805321,0.2832480893411786,-2.9332486682841896,0.0033543511298945727
distilmbert,Korean,syntax_ablated vs intact,-0.144196734934904,0.2832480893411786,-3.4776853761675643,0.0005057631932556816
distilmbert,Korean,semantics_ablated vs syntax_ablated,-0.076735659805321,-0.144196734934904,0.5444367078833745,0.5861409913002933
distilmbert,Mandarin,semantics_ablated vs intact,0.1405103194446268,0.0183694504707986,0.9807433260550484,0.32671933244989826
distilmbert,Mandarin,syntax_ablated vs intact,0.1469451934490992,0.0183694504707986,1.03310265146001,0.30155586266945633
