layer,r_mean,r_std,lang,r_transf,r_random
18,0.4123585931564434,0.12594496418509862,tr,0.4463364767410985,0.10168254096921374
18,0.4123585931564434,0.12594496418509862,nl,-0.021377708479033194,-0.037786454860990325
18,0.4123585931564434,0.12594496418509862,no,0.1503959321863538,0.010104393356365616
18,0.4123585931564434,0.12594496418509862,fa,0.5201845625552503,-0.18167392488414122
18,0.4123585931564434,0.12594496418509862,fr,0.1250759743093184,-0.11006857237323565
18,0.4123585931564434,0.12594496418509862,ro,0.3663366740011303,-0.18409090398150113
19,0.40029424440897177,0.12444244669524109,es,0.20231484778591272,-0.1705690355230428
19,0.40029424440897177,0.12444244669524109,mr,0.12641452260149116,0.3546195258514687
19,0.40029424440897177,0.12444244669524109,af,0.12414950648710966,-0.19881805307476927
19,0.40029424440897177,0.12444244669524109,vi,0.2368405686003417,-0.02236231086701752
19,0.40029424440897177,0.12444244669524109,ta,0.5495862832241688,-0.1974453117058592
19,0.40029424440897177,0.12444244669524109,lt,0.47535202383994746,-0.1628435140744662
19,0.40029424440897177,0.12444244669524109,tr,0.4255495457345304,0.1531052008456586
19,0.40029424440897177,0.12444244669524109,nl,-0.015517948405105246,0.004256291269579202
19,0.40029424440897177,0.12444244669524109,no,0.18160377102935493,0.05987339302572944
19,0.40029424440897177,0.12444244669524109,fa,0.5072258777320204,-0.053792143412326465
19,0.40029424440897177,0.12444244669524109,fr,0.1048793606104621,-0.07708205484155296
19,0.40029424440897177,0.12444244669524109,ro,0.3838047398450736,-0.11062651489706528
20,0.4011316834519488,0.1140173943074002,es,0.1644834219317022,-0.19010610088543836
20,0.4011316834519488,0.1140173943074002,mr,0.1562954246275061,0.38375766724048094
20,0.4011316834519488,0.1140173943074002,af,0.12154343075377111,-0.17140086990607908
20,0.4011316834519488,0.1140173943074002,vi,0.2699745726708126,-0.06792948111859633
20,0.4011316834519488,0.1140173943074002,ta,0.5145816606045901,-0.23761274130337184
20,0.4011316834519488,0.1140173943074002,lt,0.476247104455888,-0.2724444962313099
20,0.4011316834519488,0.1140173943074002,tr,0.41216987916738135,0.06861531143282593
20,0.4011316834519488,0.1140173943074002,nl,-0.02941928960031195,-0.013280232912499584
