train,condition,language,model,r1,r2,r3,r_mean,r_sd
pereira,experimental,Arabic,xglm_large,-0.09198498321234885,0.16214500397679127,0.17763116829658496,0.08259706302034246,0.12360993345043131
pereira,experimental,Arabic,xglm_xl,-0.3163261934940461,-0.29946964171643065,-0.0991596667732843,-0.23831850066125368,0.09864049750230193
control,experimental,Arabic,nllb200_distilled_600M,-0.07935905702976691,0.19607905075564142,0.05766650411209814,0.05812883261265755,0.11244761184905433
control,experimental,Arabic,nllb200_distilled_1B,-0.1217021772494129,0.19660211943807374,0.03677948633853225,0.03722647617573103,0.1299475693561697
control,experimental,Arabic,nllb200_1B,-0.19362584162826643,0.24829889082530793,0.12239917082778869,0.05902407334161006,0.18589722882025936
control,experimental,Arabic,xlm_align,-0.2817467155993196,-0.01919692624304891,0.1072066177511445,-0.064579008030408,0.16199963763668365
control,experimental,Arabic,infoxlm_base,-0.05891220664598435,-0.060156783699258184,0.09737072131650844,-0.0072327563429113685,0.07396757351183891
control,experimental,Arabic,infoxlm_large,-0.05256685768514586,0.1462486050658526,-0.002764397856368283,0.03030578317477949,0.08446744821645034
control,experimental,Arabic,multiminilm,0.054791377827366525,0.14480017746794954,0.08454087543945306,0.09471081024492305,0.03744299385862271
control,experimental,Arabic,xlmr_base,-0.2203870058274151,-0.010997994731817274,0.07536309084270136,-0.05200730323884367,0.1241728699790851
control,experimental,Arabic,xlmr_large,-0.21341670777902588,0.1034248704137936,-0.010883377863585824,-0.04029173840960604,0.1310109032878121
control,experimental,Arabic,distilmbert,-0.05243160343692843,-0.06324319699592443,0.04117232792376635,-0.024834157503028836,0.04688187089284104
control,experimental,Arabic,bert_base,0.008263322262036653,-0.03733571618312574,0.02502024125732787,-0.001350717554587073,0.02634879729419207
control,experimental,Arabic,mdeberta,-0.05972170814439371,0.13976159683713296,-0.01874832195366516,0.020430522246358034,0.086021832950422
control,experimental,Arabic,mt5_small,-0.21928612705865871,0.10792297200691228,0.03781838570863041,-0.024514923114372006,0.14066634202832248
control,experimental,Arabic,mt5_base,-0.14814828249724657,0.05983327426601331,-0.018068680246680468,-0.035461229492637907,0.08579416283707599
control,experimental,Arabic,mt5_large,-0.1817649552582056,0.0690914660665284,-0.16362635837241307,-0.09209994918803009,0.11421983610001653
control,experimental,Arabic,mgpt,-0.3191166430189158,-0.04362191951331068,0.1426560317457927,-0.07336084359547793,0.1896871169303317
control,experimental,Arabic,xglm_small,-0.5983915010506418,-0.39521236709997454,-0.4119423518611875,-0.46851540667060126,0.09208989454544762
control,experimental,Arabic,xglm_med,-0.4242930928545718,-0.1902203133337743,-0.1596936800484497,-0.2580690287455986,0.11819700631181315
control,experimental,Arabic,xglm_large,-0.321974339413346,0.011758529024588009,-0.021086196487060106,-0.11043400229193938,0.15018140069165833
control,experimental,Arabic,xglm_xl,-0.515362991815368,-0.08005187394448016,-0.20799666225912514,-0.2678038426729911,0.18267752362618495
natstor,experimental,Arabic,nllb200_distilled_600M,0.19359360571587836,0.3421776105884643,-0.13271632129953198,0.13435163166827022,0.19834863288799232
natstor,experimental,Arabic,nllb200_distilled_1B,-0.0019728076484887415,0.35306072513656506,-0.15411297789266795,0.06565831319846946,0.2125037531297711
natstor,experimental,Arabic,nllb200_1B,0.06894939729430315,0.16242029903141567,-0.24263305014468572,-0.0037544512729889754,0.17316936048671347
natstor,experimental,Arabic,xlm_align,0.015204734414638028,0.12298573383873007,-0.18101377471458902,-0.014274435487073642,0.12584564988835958
natstor,experimental,Arabic,infoxlm_base,0.1531211250188806,0.17127076105658834,-0.23000312655549898,0.03146291983998998,0.18503283021370615
natstor,experimental,Arabic,infoxlm_large,0.059149033199863844,0.1855743404359557,-0.03333697192214758,0.07046213390455731,0.08972747760209863
natstor,experimental,Arabic,multiminilm,-0.1595328838582156,0.15782685087073872,-0.2140182077488685,-0.07190808024544847,0.16396293597657327
natstor,experimental,Arabic,xlmr_base,-0.1249016382667557,0.25794239092227333,-0.14183042243869282,-0.0029298899277250636,0.1845939798951478
natstor,experimental,Arabic,xlmr_large,0.008401565294980892,0.24718246579376021,-0.13254455097351966,0.04101316003840715,0.15672861661595522
natstor,experimental,Arabic,distilmbert,0.16152379950808413,0.25357863308170436,0.07550403107126441,0.16353548788701763,0.07271256717557883
natstor,experimental,Arabic,bert_base,0.15439998174969813,0.2819148407315284,0.16004914732788986,0.19878798993637214,0.05882478650066135
natstor,experimental,Arabic,mdeberta,-0.007645886182855074,0.2692773362025157,-0.0876618483131825,0.057989867235492716,0.15293230409951222
natstor,experimental,Arabic,mt5_small,0.1276670027319285,0.1659670490328802,0.05062219357020769,0.1147520817783388,0.047966691970257214
natstor,experimental,Arabic,mt5_base,-0.13826723045593525,0.3090817366811758,-0.07890719228010243,0.030635771315046034,0.19837677998288347
natstor,experimental,Arabic,mt5_large,-0.014114706294731624,0.2823897818935646,-0.08821273611516144,0.06002077982789052,0.1601220561854407
