dataset,perturb_type,model,language,r1,r2,r3,r_mean,r_sd
Tuckute2024,nounsverbsadj,nllb200_1B,Portuguese,0.25245427614010924,0.23444467589450912,-0.002034071067194918,0.12521010253645715,0.1272441736036521
Tuckute2024,verbs,nllb200_1B,Portuguese,-0.022545657881366168,0.042107417546111775,-0.1408192513354127,-0.08168245460838944,0.059136796727023266
Tuckute2024,1LocalWordSwap,nllb200_1B,Russian,0.4491345402061268,0.2845283892425542,0.13538116406157047,0.28968136450341714,0.12814109443904967
Tuckute2024,2LocalWordSwap,nllb200_1B,Russian,0.4189382719563782,0.2288932766396987,0.138859504837528,0.26223035114453497,0.11674630429585209
Tuckute2024,3LocalWordSwaps,nllb200_1B,Russian,0.43108666735002893,0.1973182584989652,0.2165612879196745,0.28165540458955624,0.10595549462852678
Tuckute2024,4LocalWordSwaps,nllb200_1B,Russian,0.42849272322481163,0.27973038268686873,0.22207393991585578,0.3100990152758454,0.08696309144183184
Tuckute2024,5LocalWordSwaps,nllb200_1B,Russian,0.44317014597655313,0.17543198272313237,0.1819417573626825,0.2668479620207893,0.12470693300070125
Tuckute2024,Reversed,nllb200_1B,Russian,0.4910764499273942,0.18947203275561228,0.18846351690606566,0.2896706665296907,0.14241599036060215
Tuckute2024,contentwords,nllb200_1B,Russian,0.4183411020192367,0.2218716049322698,0.1504142782826837,0.26354232841139674,0.11327998533381756
Tuckute2024,functionwords,nllb200_1B,Russian,0.33644953494864643,0.0474433171618964,0.08895346983523379,0.1576154406485922,0.12758526079144478
Tuckute2024,intact,nllb200_1B,Russian,0.13267980595385287,0.19543214040543094,-0.17137881740492214,0.05224437631812056,0.16018731420423776
Tuckute2024,nouns,nllb200_1B,Russian,0.4581248207969492,0.16237382872560674,0.15518957504737824,0.2585627415233114,0.14114217651772643
Tuckute2024,nounsverbs,nllb200_1B,Russian,0.39102097789204165,0.17074738202803838,0.13453771124648484,0.23210202372218827,0.11334081512664092
