train,condition,language,model,roi,r1,r2,r3,r_mean,r_sd
main,random_2,Arabic,nllb200_1B,IFGorb,-0.0461280920794272,0.00879082118710389,0.18128916728011563,0.04798396546259744,0.09689076110858431
main,random_3,Arabic,nllb200_1B,IFGorb,0.07449736753211149,-0.0012687998713649426,-0.2970849061717527,-0.07461877950366873,0.16031949593811706
main,random_0,Arabic,nllb200_1B,MFG,-0.2043992870489196,0.035871529901827896,-0.12334587470878278,-0.09729121061862482,0.09980531218388171
main,random_1,Arabic,nllb200_1B,MFG,0.15377732018710732,-0.007329404170346722,-0.13849072561072043,0.0026523968020133923,0.11952651006257745
main,random_2,Arabic,nllb200_1B,MFG,-0.11187301350675624,-0.09188528453002696,-0.039598584239122665,-0.08111896075863528,0.03047221222855743
main,random_3,Arabic,nllb200_1B,MFG,0.19917927161449386,0.32458384108828814,-0.0924950825732581,0.14375601004317462,0.17472361142305226
main,random_0,Arabic,nllb200_1B,PostTemp,-0.021524595296955714,0.03759664029872352,0.21598355521787843,0.07735186673988208,0.10095506892436562
main,random_1,Arabic,nllb200_1B,PostTemp,0.22516693191234394,0.06079832042115001,0.1211917337272074,0.13571899535356713,0.06788490803635366
main,random_2,Arabic,nllb200_1B,PostTemp,-0.09956051346053321,-0.15640327531273282,-0.011965181908547222,-0.08930965689393776,0.05941044101177696
main,random_3,Arabic,nllb200_1B,PostTemp,0.07368280475619753,0.044925699689126686,-0.31667613109043424,-0.06602254221503667,0.17762724825703077
main,random_0,Arabic,xlm_align,AntTemp,0.1857847031748548,0.03585694382594638,0.13148547914411265,0.11770904204830461,0.061978092474341905
main,random_1,Arabic,xlm_align,AntTemp,0.05902208602078042,0.018688034439123157,0.12159106314260595,0.06643372786750318,0.04233562451990459
main,random_2,Arabic,xlm_align,AntTemp,-0.10204046122213742,0.15037015051988667,0.12272904516987973,0.05701957815587633,0.1130371023792454
main,random_3,Arabic,xlm_align,AntTemp,-0.03848962634877813,-0.16465931830164451,-0.26800967354485045,-0.1570528727317577,0.0938554083928307
main,random_0,Arabic,xlm_align,IFG,0.11139642906660079,0.2124019830234581,0.14730778932359007,0.1570354004712163,0.04180510572097202
main,random_1,Arabic,xlm_align,IFG,-0.2829563105261679,-0.043590431783559626,0.15383026239377412,-0.05757215997198447,0.17859123553175502
main,random_2,Arabic,xlm_align,IFG,-0.3133525148814117,-0.016476867773806917,-0.052575248444026446,-0.127468210366415,0.13226363639973265
main,random_3,Arabic,xlm_align,IFG,-0.051434826792852745,0.11143017026194339,-0.03885423782603933,0.00704703521435044,0.07398849895517995
main,random_0,Arabic,xlm_align,IFGorb,0.10000095402515238,0.04503871372042044,-0.04809392797887886,0.032315246588897985,0.06112521836815628
main,random_1,Arabic,xlm_align,IFGorb,-0.2916131892794889,0.08663764333619824,0.2793804305080852,0.02480162818826483,0.237172508295208
main,random_2,Arabic,xlm_align,IFGorb,-0.1934959944973452,0.011198851521886363,0.3216829355841274,0.04646193086955619,0.21179384012726898
main,random_3,Arabic,xlm_align,IFGorb,-0.30775559131520125,0.0669192599009755,-0.16177990333926093,-0.13420541158449556,0.1541980879261397
main,random_0,Arabic,xlm_align,MFG,-0.04522451734347907,0.2841114921426347,-0.054867302719323365,0.06133989069327742,0.15757249260088643
main,random_1,Arabic,xlm_align,MFG,-0.20236748846324493,-0.17555168433795873,-0.05263083257590696,-0.14351666845903688,0.06519175924840423
main,random_2,Arabic,xlm_align,MFG,-0.30516651370883213,-0.07122010828329663,-0.019663866093568152,-0.13201682936189896,0.12423129347917518
main,random_3,Arabic,xlm_align,MFG,0.06404031510459193,0.10408375576163548,0.050394696995344074,0.07283958928719049,0.022784485619356316
main,random_0,Arabic,xlm_align,PostTemp,0.181610465720159,0.1776340288374031,0.042044208700529606,0.13376290108603056,0.06487522337662377
main,random_1,Arabic,xlm_align,PostTemp,-0.06345241636197523,-0.15656971356184163,0.09209934949424958,-0.04264092680985576,0.10257977157098129
main,random_2,Arabic,xlm_align,PostTemp,-0.19512794771163422,-0.14557270203914452,0.006177822235096118,-0.11150760917189421,0.08564004580219182
main,random_3,Arabic,xlm_align,PostTemp,-0.0713605888602254,-0.14417982967070128,-0.2702208506324257,-0.16192042305445078,0.08214782374164539
main,random_0,Arabic,infoxlm_base,AntTemp,-0.04439949111133626,-0.14268682366625815,0.09253177742529464,-0.03151817911743326,0.09645860502094482
main,random_1,Arabic,infoxlm_base,AntTemp,0.030087352006409,0.1565171837833381,0.03670858657704902,0.0744377074555987,0.0581018675115055
main,random_2,Arabic,infoxlm_base,AntTemp,-0.25203020336849685,0.0767588927400693,0.2620968646456163,0.028941851339062925,0.21259744840497075
main,random_3,Arabic,infoxlm_base,AntTemp,0.020202408005439026,-0.15013217894978056,-0.2557370272705306,-0.1285555994049574,0.11368026675357461
main,random_0,Arabic,infoxlm_base,IFG,-0.10913332933932951,0.31589933915271107,0.05877907488219921,0.08851502823186025,0.1747881813559413
main,random_1,Arabic,infoxlm_base,IFG,-0.17838322865526807,0.05785730562527601,0.06218951628756946,-0.019445468914140864,0.11239988320264344
main,random_2,Arabic,infoxlm_base,IFG,-0.40344735728488396,-0.05383081706277078,0.03623935575433996,-0.14034627286443827,0.18963964858864457
main,random_3,Arabic,infoxlm_base,IFG,-0.11058243900904682,-0.04350156694458843,-0.08754311852598493,-0.08054237482654006,0.027829464703092974
main,random_0,Arabic,infoxlm_base,IFGorb,-0.1267632107370568,0.005418335569523002,-0.002108465144063965,-0.041151113437199245,0.060614830887639595
main,random_1,Arabic,infoxlm_base,IFGorb,-0.23825810831320543,0.07401092335367469,0.23073925030439604,0.022164021781621773,0.19494564456028654
main,random_2,Arabic,infoxlm_base,IFGorb,-0.1979791795498598,-0.0691593369631731,0.37572413464682525,0.03619520604459745,0.2457757215828382
main,random_3,Arabic,infoxlm_base,IFGorb,-0.0908784082359721,-0.17869931289000987,-0.29084346801326866,-0.1868070630464169,0.08183645476348335
main,random_0,Arabic,infoxlm_base,MFG,-0.23828952770983866,0.3247977827646556,-0.1175455649062703,-0.010345769950484454,0.24205464511589359
main,random_1,Arabic,infoxlm_base,MFG,-0.11332057264923952,-0.12663026262120108,-0.10704895547902357,-0.11566659691648806,0.008164344013083651
