train,model,roi,r,r_random,SE,z,p,sig
control,mgpt,IFGorb,0.18515351038394454,0.12401724064941269,0.06933584716968728,4.9150210391949,8.877292561481865e-07,***
control,mgpt,MFG,0.07224455126682103,0.030603680200677448,0.03358847902929395,3.875202292638173,0.00010653615769341688,***
control,mgpt,PostTemp,0.12219005065592814,0.005295236790577832,0.0355133705801877,8.582837944415735,9.256071146545995e-18,***
main,mgpt,AntTemp,0.08533281231390916,0.02013225362727923,0.05077674294293514,5.500425181698112,3.7887649836182156e-08,***
main,mgpt,IFG,0.11865043542591204,-0.004321465317017788,0.06267475984095398,10.7127846346937,8.865431065852187e-27,***
main,mgpt,IFGorb,0.11553588677372442,0.029067824045730637,0.0713536773352015,6.545408395940503,5.933301809216094e-11,***
main,mgpt,MFG,0.03720843055847517,0.0025212006236339513,0.10284631503353203,4.963265135739807,6.931785185523962e-07,***
main,mgpt,PostTemp,0.13909712842675598,-0.006415947785373391,0.04022118837935558,11.937007476003748,7.590524284524758e-33,***
natstor,mgpt,AntTemp,0.2394994041334746,-0.08618621799563025,0.09327818486877375,23.01009718432299,3.693466025713839e-117,***
natstor,mgpt,IFG,0.20490671490162435,-0.03130470551125076,0.10403449903930785,16.598545670608683,7.140000829967801e-62,***
natstor,mgpt,IFGorb,0.2564262484449369,-0.017522083119226747,0.08137244629025167,19.65735244036597,5.001567397622447e-86,***
natstor,mgpt,MFG,0.07870995060121475,-0.007537559543591264,0.11919240510745897,6.740061172717657,1.583199614479509e-11,***
natstor,mgpt,PostTemp,0.08296372928955037,-0.0287147606480977,0.07885469896546803,6.110847125957256,9.910366490479644e-10,***
pereira,mgpt,AntTemp,0.010714970502009674,0.008793888623161534,0.033672035326843805,0.08774068733114142,0.9300827804938647,
pereira,mgpt,IFG,0.1457057175297884,-0.06814456650600909,0.055959199688191914,14.027138485735042,1.0635713760992112e-44,***
pereira,mgpt,IFGorb,0.014874822304459705,-0.06737709909467934,0.03843004150549236,5.777838023916668,7.566659858519476e-09,***
pereira,mgpt,MFG,0.0743118261882672,0.02254965500802425,0.037225341976081135,3.8795311504011933,0.00010465799830510949,***
pereira,mgpt,PostTemp,0.07954851080107089,0.032907793992582195,0.03134065205935895,2.0913461646675295,0.03649704433200836,*
control,mt5_base,AntTemp,0.129023019086268,0.02378889619157261,0.036819645881159865,8.228394954438738,1.8973858885239258e-16,***
control,mt5_base,IFG,0.10182058993796325,0.00992094326446583,0.025154634185437456,6.142898134753374,8.102925142439912e-10,***
control,mt5_base,IFGorb,0.12702513557633185,0.006482424035656886,0.045126871887365645,8.41943013874952,3.783199754304477e-17,***
control,mt5_base,MFG,0.0474822875339255,0.0029134477258549803,0.027547256772118774,3.291906012870639,0.0009951086187640474,***
control,mt5_base,PostTemp,0.07009151472986648,0.0177691286847788,0.03507771800120434,4.069450018766481,4.7124247376267865e-05,***
main,mt5_base,AntTemp,0.09888635800952607,0.009541521379391977,0.0384610286718555,6.9255832720786,4.341828414447742e-12,***
main,mt5_base,IFG,0.056424040516836235,-0.025421297487089364,0.053599010676232316,7.543721457331657,4.5674616859354883e-14,***
main,mt5_base,IFGorb,0.08713856173303726,-0.005208600836750522,0.04458322488223801,7.1736622537251336,7.30176203272227e-13,***
main,mt5_base,MFG,0.04770197769223151,-0.015619032837434956,0.047797830178354206,5.758076264947832,8.507791851981296e-09,***
main,mt5_base,PostTemp,0.09452247536554093,-0.01925592474213692,0.035259499797912854,9.55860205523791,1.1935798391172195e-21,***
natstor,mt5_base,AntTemp,0.12742862488771697,-0.048627556532593805,0.03500243826734926,14.162350966213026,1.5666400259388572e-45,***
natstor,mt5_base,IFG,0.07711288920860347,-0.01604523274776893,0.0294441248390631,7.7552132689442645,8.819513320125621e-15,***
natstor,mt5_base,IFGorb,0.064526461948952,0.03552967515990626,0.03294298190916371,3.3177314319392557,0.0009075169862626932,***
natstor,mt5_base,MFG,0.08393192631821211,-0.03120448978679636,0.03234074834928539,9.049622867680547,1.434629620166651e-19,***
natstor,mt5_base,PostTemp,0.13780144283168458,-0.055035779022801906,0.027839117253452006,15.046638945812823,3.632251757029745e-51,***
pereira,mt5_base,AntTemp,0.05188095525693848,0.010363521874371602,0.04175640867002265,2.8313797515257613,0.0046347657223743234,**
pereira,mt5_base,IFG,0.044021635766229895,0.014167179371509832,0.03895275025945394,1.635566876164571,0.10193026755821775,
