dataset,perturb_type,model,r,SE
Pereira2018,nounsverbs,mt5_large,0.010013756540751201,0.030737870424002767
Pereira2018,nounsverbs,mt5_small,-0.03602295107594954,0.03212273069958987
Pereira2018,nounsverbs,multiminilm,0.08430086185751656,0.031245584918658198
Pereira2018,nounsverbs,nllb200_1B,0.026797943503573545,0.03434923960223319
Pereira2018,nounsverbs,nllb200_distilled_1B,-0.006627081984291599,0.02778203159224592
Pereira2018,nounsverbs,nllb200_distilled_600M,0.004890608825495946,0.030237555960983497
Pereira2018,nounsverbs,xglm_large,0.011719502958273176,0.027140324945719368
Pereira2018,nounsverbs,xglm_med,0.07095373540519576,0.052542953619196836
Pereira2018,nounsverbs,xglm_small,0.021441413058279638,0.10005152042945424
Pereira2018,nounsverbs,xglm_xl,0.08021429835988009,0.04353581422191441
Pereira2018,nounsverbs,xlm_align,0.044392143579467525,0.04259034530680795
Pereira2018,nounsverbs,xlmr_base,0.049140713442014775,0.041771904850100745
Pereira2018,nounsverbs,xlmr_large,0.015042128809988179,0.024467433174267025
Pereira2018,nounsverbsadj,bert_base,0.0468943089031261,0.05317740334930176
Pereira2018,nounsverbsadj,distilmbert,0.011679028446946928,0.05920488551034461
Pereira2018,nounsverbsadj,infoxlm_base,0.019334141292042275,0.03751095128301714
Pereira2018,nounsverbsadj,infoxlm_large,0.038190652539607274,0.025066962348724627
Pereira2018,nounsverbsadj,mdeberta,-0.025773414225255,0.022602205306661013
Pereira2018,nounsverbsadj,mgpt,0.1539011693685105,0.07374283800860178
Pereira2018,nounsverbsadj,mt5_base,0.013899550345222632,0.02087619857311263
Pereira2018,nounsverbsadj,mt5_large,0.07330721263025566,0.0420693839421439
Pereira2018,nounsverbsadj,mt5_small,-0.0323088708269384,0.031909665261042185
Pereira2018,nounsverbsadj,multiminilm,0.08104960442232242,0.03841089717526638
Pereira2018,nounsverbsadj,nllb200_1B,0.01580040260027549,0.03840594446185583
Pereira2018,nounsverbsadj,nllb200_distilled_1B,-0.004146828057156844,0.02996306747407966
Pereira2018,nounsverbsadj,nllb200_distilled_600M,0.0062903116651323,0.04229876754612653
Pereira2018,nounsverbsadj,xglm_large,-0.023449713106105954,0.03777999293710609
Pereira2018,nounsverbsadj,xglm_med,0.06451331293785814,0.054910608419743184
Pereira2018,nounsverbsadj,xglm_small,0.01970798140775584,0.09921504131326747
Pereira2018,nounsverbsadj,xglm_xl,0.0998692666899448,0.043030658029915146
Pereira2018,nounsverbsadj,xlm_align,0.03867007531318516,0.05077023235978989
Pereira2018,nounsverbsadj,xlmr_base,0.08454815029929422,0.04196856515163836
Pereira2018,nounsverbsadj,xlmr_large,0.008565807004441546,0.017796207068613637
Pereira2018,paraphrase,bert_base,0.023098252643005204,0.055489393932227564
Pereira2018,paraphrase,distilmbert,0.018351718202770803,0.061155508454744545
Pereira2018,paraphrase,infoxlm_base,0.04766132411189065,0.03541612634945928
Pereira2018,paraphrase,infoxlm_large,0.035887886983560664,0.03602810219494814
Pereira2018,paraphrase,mdeberta,0.034226311501438726,0.03176579402426516
Pereira2018,paraphrase,mgpt,0.16253221099274656,0.07731789108024281
Pereira2018,paraphrase,mt5_base,0.003362570109363575,0.02611173433559366
Pereira2018,paraphrase,mt5_large,0.10035344215636394,0.051219614297824845
Pereira2018,paraphrase,mt5_small,-0.008518727659759388,0.022744670756502144
Pereira2018,paraphrase,multiminilm,0.05342177292370873,0.034048085532245066
Pereira2018,paraphrase,nllb200_1B,-0.013495022336476167,0.037595950283800215
Pereira2018,paraphrase,nllb200_distilled_1B,0.003392006274032844,0.03531841429958995
Pereira2018,paraphrase,nllb200_distilled_600M,0.03180409573074119,0.04199510530962622
Pereira2018,paraphrase,xglm_large,0.02708326837110212,0.041114856374005575
Pereira2018,paraphrase,xglm_med,0.0216219397742025,0.034074038196709816
Pereira2018,paraphrase,xglm_small,0.0011070912415200678,0.08893617066629028
Pereira2018,paraphrase,xglm_xl,0.08545853778617592,0.06392065517506842
Pereira2018,paraphrase,xlm_align,0.06982239152689637,0.04680309597574658
Pereira2018,paraphrase,xlmr_base,0.06912889700537356,0.033429309547411835
Pereira2018,paraphrase,xlmr_large,0.0144751913225279,0.025027090763076913
