train,condition,language,model,r1,r2,r3,r_mean,r_sd
pereira,random_1,Mandarin,mt5_small,0.021939856147622974,-0.007007372386096914,-0.1404268945278816,-0.04183147025545184,0.07071199226694708
pereira,random_2,Mandarin,mt5_small,-0.10278868997817003,0.3883626005708317,-0.10548598951705442,0.06002930702520243,0.23216930976350125
pereira,random_3,Mandarin,mt5_small,-0.03355395647720004,0.08927279664364687,-0.046773981070687747,0.0029816196985863624,0.06125530005088491
pereira,random_0,Mandarin,mt5_base,0.034593482341360525,-0.20531180961756448,-0.06894802130717917,-0.0798887828611277,0.0982459921998841
pereira,random_1,Mandarin,mt5_base,0.06847486291470983,0.226514003604497,0.12332446388848549,0.1394377768025641,0.06551753779099581
pereira,random_2,Mandarin,mt5_base,-0.028759183433605486,0.29087465314663163,-0.08639878645438297,0.05857222775288105,0.16593953435305384
pereira,random_3,Mandarin,mt5_base,-0.03175722907316746,-0.19832017019406534,0.012549850625323045,-0.07250918288063658,0.09078209340480055
pereira,random_0,Mandarin,mt5_large,0.35945155023589886,-0.1370041790750517,0.2753956218711217,0.16594766434398964,0.2169504003938268
pereira,random_1,Mandarin,mt5_large,-0.15972584671916346,0.2118932579025635,-0.12589398415191483,-0.02457552432283826,0.16777815204721117
pereira,random_2,Mandarin,mt5_large,-0.07693398852713358,0.03050997976390191,0.08452460828048088,0.012700199839083067,0.06710743037100443
pereira,random_3,Mandarin,mt5_large,-0.07185730616544465,-0.06254904240451178,-0.11795725996363055,-0.084121202844529,0.024225606488260876
pereira,random_0,Mandarin,mgpt,0.2811747142255876,0.5822179557425783,-0.03389026238909354,0.27650080252635745,0.2515468388462012
pereira,random_1,Mandarin,mgpt,0.07026215700901407,0.5649415088592611,-0.02957998261400029,0.2018745610847583,0.2599427111702955
pereira,random_2,Mandarin,mgpt,-0.06590295809750361,-0.5652067426955939,-0.009164296454841056,-0.21342466574931285,0.249823659376942
pereira,random_3,Mandarin,mgpt,0.17339877790398764,0.6793440343022585,0.0710859881397125,0.30794293344865287,0.26592111615262876
pereira,random_0,Mandarin,xglm_small,-0.33561616600593935,0.0771720714732127,0.16030220210631121,-0.03271396414213848,0.2168562697198663
pereira,random_1,Mandarin,xglm_small,0.017602766553658212,-0.2209307551123044,0.06419170905684292,-0.04637875983393441,0.12488376377692534
pereira,random_2,Mandarin,xglm_small,-0.0791131063284167,0.24930329770867415,0.10079436778564181,0.09032818638863309,0.13427953262985823
pereira,random_3,Mandarin,xglm_small,0.03619397274345331,-0.11457168027719082,0.12820684937654916,0.016609713947603882,0.10007667397099446
pereira,random_0,Mandarin,xglm_med,0.08556644757288341,0.5544246043331064,0.06536098271714258,0.23511734487437744,0.22593496064102483
pereira,random_1,Mandarin,xglm_med,-0.0672884156330643,0.28449356074701987,-0.2578161534887279,-0.013537002791590777,0.2246358049902931
pereira,random_2,Mandarin,xglm_med,0.018611975046194065,0.051157655808996935,-0.12102117217256976,-0.01708384710579292,0.07468614771431267
pereira,random_3,Mandarin,xglm_med,-0.09430445313408693,0.006617334273772872,-0.20168847204864532,-0.09645853030298646,0.08505412893463934
pereira,random_0,Mandarin,xglm_large,-0.06988808752604588,0.26635452256393005,0.022939222460342593,0.07313521916607559,0.14178505274767475
pereira,random_1,Mandarin,xglm_large,-0.04147037823917832,0.08388396967696579,0.0762829250897098,0.03956550550916576,0.05738498532346079
pereira,random_2,Mandarin,xglm_large,0.11237991614830348,0.14232795404010246,-0.10766264627413327,0.04901507463809088,0.11146046359159155
pereira,random_3,Mandarin,xglm_large,-0.023238738205597985,-0.025901520471595166,-0.11170673390254422,-0.053615664193245795,0.041090971330508076
pereira,random_0,Mandarin,xglm_xl,0.0013246481264320886,-0.18130019797824418,0.07318390064576356,-0.03559721640201617,0.10712284902021367
pereira,random_1,Mandarin,xglm_xl,-0.10780649484284863,0.10823570209928943,-0.13894562758741638,-0.046172140110325194,0.10992041878526752
pereira,random_2,Mandarin,xglm_xl,0.22561341940258922,-0.04391563179412682,0.02243516488622664,0.06804431749822969,0.1146636340526476
pereira,random_3,Mandarin,xglm_xl,-0.2059626777934385,0.008459481566744363,-0.379476157825262,-0.19232645135065204,0.15866731459528857
control,random_0,Mandarin,nllb200_distilled_600M,0.018995434850638284,-0.0444016633577549,0.18033641783046642,0.051643396441116596,0.09460873226452514
control,random_1,Mandarin,nllb200_distilled_600M,0.06501955941460358,-0.010133075585844888,-0.08146332533096672,-0.008858947167402676,0.05980817353988789
control,random_2,Mandarin,nllb200_distilled_600M,-0.026124118167982366,-0.10588991895146714,-0.08164673323421866,-0.07122025678455605,0.03338841417841596
control,random_3,Mandarin,nllb200_distilled_600M,-0.06284237617358186,-0.07735111288921138,-0.14602224439143915,-0.09540524448474413,0.036278426738551174
control,random_0,Mandarin,nllb200_distilled_1B,-0.21834845502037944,-0.0865791791196855,0.11723223194404003,-0.06256513406534164,0.13804855458806747
control,random_1,Mandarin,nllb200_distilled_1B,-0.07735506803732563,0.0898116546390286,-0.03524464171563805,-0.007596018371311693,0.07099067108766523
control,random_2,Mandarin,nllb200_distilled_1B,-0.031035692602262313,-0.3350599587200862,-0.07406952718969564,-0.14672172617068138,0.13432906141189233
control,random_3,Mandarin,nllb200_distilled_1B,0.025245087639075667,-0.01880892083774746,-0.09396798369647055,-0.029177272298380783,0.04921765352880286
control,random_0,Mandarin,nllb200_1B,-0.04123714799622567,-0.10859883985120686,0.24670842605945012,0.0322908127373392,0.15408998249822314
control,random_1,Mandarin,nllb200_1B,-0.06935093029992444,0.017950213558028946,0.1294369292390497,0.02601207083238474,0.08135477216920874
control,random_2,Mandarin,nllb200_1B,0.014866366554236994,-0.11950357977504938,-0.11786801232368832,-0.07416840851483357,0.06296063399152405
control,random_3,Mandarin,nllb200_1B,0.0017805729079021038,0.18500430247309277,-0.1114893082317317,0.025098522383087723,0.12216085126583852
control,random_0,Mandarin,xlm_align,0.015158141494626616,0.14514751766484812,-0.07037329361008544,0.02997745518312976,0.08860780276702526
control,random_1,Mandarin,xlm_align,-0.03293125336202302,0.09187427231986288,0.017360538529919797,0.025434519162586555,0.051270502777753725
control,random_2,Mandarin,xlm_align,-0.08177743903971145,0.09532465736566291,0.06731976459486594,0.0269556609736058,0.077731305506664
control,random_3,Mandarin,xlm_align,-0.0475056465589643,-0.11684800239294095,0.2291678467755966,0.02160473260789712,0.1494744690583123
control,random_0,Mandarin,infoxlm_base,-0.10648969092831916,0.1438969822869886,-0.1858968863332819,-0.04949653165820415,0.14053982614090235
control,random_1,Mandarin,infoxlm_base,0.10123965570785375,0.06722348322933801,-0.18623558558704473,-0.005924148883284325,0.12825348767747066
control,random_2,Mandarin,infoxlm_base,-0.1421030008652794,-0.09008028314119255,-0.11977180316291931,-0.11731836238979709,0.021308923304106178
control,random_3,Mandarin,infoxlm_base,0.04473688428095751,0.05478085018829358,0.12316618743768239,0.07422797396897783,0.03484663413605686
control,random_0,Mandarin,infoxlm_large,0.0545372019703272,0.20809875779837944,0.02942152877162095,0.0973524961801092,0.07897784544572324
control,random_1,Mandarin,infoxlm_large,-0.07530684348742993,0.19053034977229336,-0.07679333904111327,0.01281005574791672,0.1256686903418162
control,random_2,Mandarin,infoxlm_large,-0.0837299756458705,-0.07703288935168809,-0.07759008294199929,-0.0794509826465193,0.003034243671894028
control,random_3,Mandarin,infoxlm_large,-0.009726695538912733,0.14926779632698878,-0.12510922120923726,0.004810626526279597,0.11248462780202152
control,random_0,Mandarin,multiminilm,-0.014692093922844124,0.11905823718059612,-0.1809946082826533,-0.0255428216749671,0.12273611594856985
control,random_1,Mandarin,multiminilm,-0.058412860690010754,-0.19156116194964573,-0.08087235308672895,-0.11028212524212848,0.058199762632711906
control,random_2,Mandarin,multiminilm,-0.05770024105138097,-0.031538081466261476,0.007086017643881945,-0.02738410162458683,0.02661148236289693
control,random_3,Mandarin,multiminilm,0.11526659293450137,0.024471794215637787,-0.10074527123513445,0.012997705305001564,0.08855891599290341
control,random_0,Mandarin,xlmr_base,0.03663371731161508,-0.013015958984572742,0.05308988655318295,0.025569214960075092,0.02809879134744445
control,random_1,Mandarin,xlmr_base,0.08741618633114985,-0.02057358597301917,0.08970245923756422,0.0521816865318983,0.05145421277795921
control,random_2,Mandarin,xlmr_base,-0.08361141605079726,0.020786438627472547,0.10218330864951922,0.013119443742064835,0.07604387785809913
control,random_3,Mandarin,xlmr_base,0.009030875152243557,-0.005023222222734554,0.025747200756629347,0.009918284562046117,0.01257763502353009
control,random_0,Mandarin,xlmr_large,-0.0879099595381862,0.06582109564714915,0.06955285875980864,0.015821331622923863,0.07336491935725818
control,random_1,Mandarin,xlmr_large,0.12090170192781405,0.10941320361952403,-0.14870111237202677,0.02720459772510377,0.12447251512396006
control,random_2,Mandarin,xlmr_large,-0.24188168913651203,0.03526939900111427,-0.06763342257630982,-0.0914152375705692,0.1143892840473077
control,random_3,Mandarin,xlmr_large,-0.03470745452858636,-0.0076415596093703094,-0.047140696570001195,-0.029829903569319288,0.016490165406060558
control,random_0,Mandarin,distilmbert,0.06371939697897296,0.1868676569913194,0.006918442937946417,0.08583516563607958,0.07510996528236742
control,random_1,Mandarin,distilmbert,0.053257819514454,0.06333147855678048,0.09287878957044833,0.06982269588056093,0.016813828511137503
control,random_2,Mandarin,distilmbert,0.03643778938184068,0.15071022760517694,0.04460959179385588,0.07725253626029116,0.05204945662191959
control,random_3,Mandarin,distilmbert,0.08094344616946561,-0.11018398741392682,0.1441877332397495,0.0383157306650961,0.10813289559278152
control,random_0,Mandarin,bert_base,0.10145611279672294,0.0036458801891003515,-0.12796485328481402,-0.0076209534329969115,0.09399893997397861
control,random_1,Mandarin,bert_base,0.020479973749918338,-0.06691942795911227,0.013019856653147433,-0.011139865852015499,0.03955951633019951
control,random_2,Mandarin,bert_base,-0.1044236972261556,-0.12332286379245704,-0.10188393891561047,-0.1098768333114077,0.009564148153110713
control,random_3,Mandarin,bert_base,0.07582143882350403,-0.20841097691361024,0.16788084117366744,0.011763767694520413,0.1601591333907394
control,random_0,Mandarin,mdeberta,0.023357851585177464,0.0739491859472621,0.13597102553701668,0.07775935435648541,0.04605301129753828
control,random_1,Mandarin,mdeberta,-0.00724368963008561,0.15399613768896572,-0.3635767027648776,-0.07227475156866582,0.21624398343308032
control,random_2,Mandarin,mdeberta,0.029098284023878103,0.15249448304584515,-0.025821921016591136,0.051923615351044033,0.07456510266018408
control,random_3,Mandarin,mdeberta,0.09850995251180335,-0.06845424297209568,0.10190074752961631,0.04398548568977465,0.07951894453055186
control,random_0,Mandarin,mt5_small,0.010575750155891532,0.096028757619428,0.011213078882829158,0.03927252888604956,0.040133557629521824
control,random_1,Mandarin,mt5_small,-0.027764270994546748,0.0681689868132068,0.09920214809683128,0.046535621305163775,0.05404393133754119
control,random_2,Mandarin,mt5_small,0.033033090583791704,-0.12843124777284415,-0.04468141118907109,-0.046693189459374514,0.06593288799525973
control,random_3,Mandarin,mt5_small,0.03811261219287485,-0.027436761417654346,0.14622335524461505,0.05229973533994519,0.07160267628695106
control,random_0,Mandarin,mt5_base,-0.17897773730799516,0.14346071154839418,0.030228147796600567,-0.0017629593210001353,0.1335644950980261
control,random_1,Mandarin,mt5_base,-0.10715831910736766,0.3123734556598041,-0.115339418154096,0.029958572799446817,0.19972540673163425
control,random_2,Mandarin,mt5_base,0.010957907810648452,0.09873137531384321,-0.17504282734112822,-0.021784514738878852,0.11414063893767253
control,random_3,Mandarin,mt5_base,0.04275159629327535,-0.035284554260585216,0.170522756090455,0.05932993270771505,0.08483432158108768
control,random_0,Mandarin,mt5_large,-0.06242191188839898,-0.058115447176971265,0.12255753290379981,0.0006733912794765207,0.08620303318020493
control,random_1,Mandarin,mt5_large,0.12630494782820698,0.1634267597719413,-0.18250007635831808,0.03574387708061006,0.15506412574584807
control,random_2,Mandarin,mt5_large,-0.2315536590307418,0.11065477964991058,-0.20108356957662435,-0.10732748298581851,0.15463787096671902
control,random_3,Mandarin,mt5_large,0.1243118474385935,-0.08973113156510513,0.1807369661391936,0.07177256067089399,0.116500444804557
control,random_0,Mandarin,mgpt,0.09049415987854033,0.6700074297452568,0.11499942528370337,0.2918336716358335,0.2675963010458077
control,random_1,Mandarin,mgpt,0.11567114206737171,0.6021748434263073,0.032940373830651466,0.25026211977477686,0.25112150950504464
control,random_2,Mandarin,mgpt,-0.3268441461470747,-0.4264759290892537,-0.14227189335415547,-0.29853065619682795,0.11774045967551197
control,random_3,Mandarin,mgpt,0.1471000651461749,0.4959798546062412,0.08309808217698621,0.24205933397646748,0.1814401399060098
control,random_0,Mandarin,xglm_small,-0.09291278569490151,0.036976421783393394,-0.06624971766978342,-0.040728693860430515,0.056013650402040704
control,random_1,Mandarin,xglm_small,-0.03347399311354409,-0.1909891125077924,-0.05920642003599567,-0.09455650855244406,0.06899263138450186
control,random_2,Mandarin,xglm_small,-0.3545465126477985,-0.04430830355319438,-0.12857475652985464,-0.1758098575769492,0.13098422977278285
control,random_3,Mandarin,xglm_small,0.03249267023188781,0.08399759341184458,-0.1307068553113124,-0.00473886388919334,0.09152100096020079
control,random_0,Mandarin,xglm_med,-0.20361729234276313,-0.5029360593758225,-0.10911456227137736,-0.271889304663321,0.16786828893534445
control,random_1,Mandarin,xglm_med,0.010118568751219102,0.2717220910493499,-0.0861720128797451,0.0652228823069413,0.1512159855662048
control,random_2,Mandarin,xglm_med,-0.1294928790641552,-0.28071303477539905,0.06203519915625205,-0.11605690489443406,0.14024854608214546
control,random_3,Mandarin,xglm_med,0.20185034455226372,-0.04923028392477468,0.1487441825464552,0.10045474772464807,0.10804095715873467
control,random_0,Mandarin,xglm_large,-0.11024232090248387,-0.09042237682528338,0.11697716679710152,-0.02789584364355524,0.10275975026377406
