model,language,mrr,r,r_last
xlmr_large,es,0.8441738597670116,0.34432729813640167,0.3102085645833527
xlmr_large,ta,0.6821449622380341,0.43123287427413237,0.2857770366723662
xlmr_large,tr,0.8392522778804756,0.4257017815443671,0.2892239280202976
xlmr_large,vi,0.7531442054927306,-0.00640393790422375,0.03261581858488957
xlmr_large,mr,0.664447769218024,0.22885487407457475,-0.29280773998048804
xglm_med,es,0.8192612265035637,0.3795964711429143,0.3413998287325691
xglm_med,vi,0.8143353265645213,0.0315421431339902,0.049918049879881896
xglm_med,ta,0.6715471373660646,0.4936161134048923,0.3678463354824987
xglm_med,tr,0.8477315631510617,0.20136214114578538,0.32172922212219884
xglm_med,fr,0.892104429877437,0.33120550187634457,-0.024434266707033973
xglm_large,es,0.783538352996398,0.3660766876303874,0.3594579858714658
xglm_large,vi,0.7841275760784002,-0.001603164904632606,0.05956162990799796
xglm_large,ta,0.5919690968771465,0.48724636960109624,0.25406003856758547
xglm_large,tr,0.813071349471802,0.20948858106161647,0.4139948015075576
xglm_large,fr,0.8750530542706856,0.318107330612798,0.002507361290166056
xlmr_base,af,0.6513996735151923,0.34730109623801575,0.3908172580844711
xlmr_base,nl,0.7594759115071775,0.1450530019883869,0.08334500954793304
xlmr_base,fa,0.725609799481782,0.5394613905688548,0.49115871950070444
xlmr_base,fr,0.7394601054881762,0.46444996453609527,0.5040377904464627
xlmr_base,lt,0.6227315798805358,0.4159746821723344,0.3272217409154715
xlmr_base,no,0.7761994483783909,0.24402026085508013,0.20773990572748813
xlmr_base,ro,0.7461840206788893,0.2526006890737049,0.2434106140040818
xlmr_base,es,0.7792703469323912,0.3970004776600718,0.40816218447765723
xlmr_base,ta,0.4898297123622145,0.45776225736682297,0.5461460968017591
xlmr_base,tr,0.6950698089632229,0.3663719016735199,0.3879027547533687
xlmr_base,vi,0.7016765716533568,0.16041119721612068,0.15596922738328123
xlmr_base,mr,0.5088993571808286,-0.029889051205134486,-0.22345521689186784
bert_base,af,0.688657270977146,0.3842750081128018,0.3226347855175954
bert_base,nl,0.7283861162883649,0.32306539125491135,0.31020853018562816
bert_base,fa,0.634376189395018,0.5208493089565662,0.36766411156704104
bert_base,fr,0.7331045141665453,0.5018579631214801,0.5273994881249885
bert_base,lt,0.5231531681438828,0.4280817871230052,0.3880635683536374
bert_base,no,0.7365587310858411,0.0781963913990621,-0.0899330574353139
bert_base,ro,0.695632821127491,0.1740612003616836,0.11262591913680732
bert_base,es,0.7484355676074649,0.4349812167783058,0.25818763252638877
bert_base,ta,0.4022626680413357,0.5651730200514193,0.4124229153619236
bert_base,tr,0.5450538524045161,0.3712470035010622,0.26970846854062414
bert_base,vi,0.6588848474436332,0.11670974660112035,0.05937389773406319
bert_base,mr,0.3958994727872781,0.23150990246913924,0.012062692837971992
infoxlm_base,af,0.7884992447498846,0.16831474692593776,0.06118830865239229
infoxlm_base,nl,0.9276712612882236,0.25344517332462246,0.0541800384548349
infoxlm_base,fa,0.9181638025134918,0.5375905844157934,0.5666456192036607
infoxlm_base,fr,0.9149981195887068,0.4100697575907242,0.37075437973812986
infoxlm_base,lt,0.8128195810472931,0.42456956163785464,0.22071708312632696
infoxlm_base,no,0.9213477378329435,0.3161846085611571,0.26286013522715945
infoxlm_base,ro,0.9241086241113159,0.3825645168140778,0.26375776662107203
infoxlm_base,es,0.9358316644125622,0.31427982640312024,0.27129474198249737
infoxlm_base,ta,0.8355540994680237,0.4386431331138524,0.4443822626271482
infoxlm_base,tr,0.909506439549385,0.4164309252752915,0.3565927141128099
infoxlm_base,vi,0.9168553832169729,0.2333010426965393,0.17067007574037765
infoxlm_base,mr,0.8429018061513677,-0.10089545199806099,-0.1669314605525785
mdeberta,af,0.9608921543302823,0.36954472237443714,0.22643648145833112
mdeberta,nl,0.9706660936607974,0.35345226674443414,0.19740249886316602
mdeberta,fa,0.9699643197673216,0.48559682211618527,0.31492400752847255
mdeberta,fr,0.975542112824177,0.5221266440598195,0.3334771190321962
mdeberta,lt,0.9658447007463344,0.5247722041320521,0.10823365347192557
mdeberta,no,0.9739890653592043,0.121143400092532,-0.001537184084212913
mdeberta,ro,0.9797368353061042,0.2909226921192745,0.19269953416667943
mdeberta,es,0.9789745247345771,0.23574355910077618,0.3851358676570767
mdeberta,ta,0.9415590704941071,0.35949275351844207,0.1895383566474849
mdeberta,tr,0.963513925909557,0.4582334037027662,0.21101731341115768
mdeberta,vi,0.9055614200862198,0.24005240569067135,0.0680579361935106
mdeberta,mr,0.9244731769200013,-0.008490873297316532,-0.016889187928191027
mt5_base,af,0.050793483534217976,0.16580561576113564,0.16778663791697432
