lang,mod,ppx,ppx_random,ppx_diff,ppx_ratio,ppx_residuals
nl,mdeberta,332.0548529189256,402.8551865322539,-70.80033361332835,0.8242536375843337,12.089893641273363
no,mdeberta,318.0613172216819,355.0517184683552,-36.99040124667329,0.895816864635257,35.10151075276224
fa,mdeberta,477.465445193223,554.9805236092437,-77.51507841602074,0.8603282906003412,39.73870894388483
ro,mdeberta,198.24345660467677,268.0361083968752,-69.79265179219843,0.7396147399332557,-17.35667748365313
lt,mdeberta,260.96871152113533,303.43389043706094,-42.465178915925605,0.8600512986378697,17.96679286486693
fr,infoxlm_large,393.2946499922273,415.55820095884,-22.26355096661274,0.946424951029139,63.496157520728104
ta,infoxlm_large,157.3048045068457,201.00364985687253,-43.69884535002683,0.7825967569188759,-6.404818874141995
es,infoxlm_large,350.17291044919386,371.6244164310325,-21.451505981838636,0.9422763816547568,54.38400924300362
tr,infoxlm_large,322.79658909004115,360.4111741039321,-37.614585013890974,0.89563424300756,35.68797328157643
vi,infoxlm_large,610.8296210190762,712.534494509733,-101.70487349065684,0.8572632282727084,51.13874691677199
mr,infoxlm_large,164.84062643207065,199.05476694292415,-34.2141405108535,0.8281169497404507,2.639653217229636
af,infoxlm_large,397.34328131177205,426.1433445659879,-28.800063254215843,0.9324169587030681,59.35072107595721
nl,infoxlm_large,349.19996251064606,402.9264468473332,-53.72648433668712,0.866659325152107,29.179839895363557
no,infoxlm_large,346.77583925788065,355.1596523593034,-8.383813101422732,0.9763942411652631,63.73248006173122
fa,infoxlm_large,470.0077672380551,523.0378117429992,-53.0300445049441,0.8986114515732162,57.00821045100315
ro,infoxlm_large,208.90507173496775,267.8874375920923,-58.982365857124535,0.7798240694401803,-6.579974765117811
lt,infoxlm_large,275.228295550638,302.49692386278485,-27.26862831214686,0.9098548574843818,32.95169228804383
es,xglm_small,272.05895466376927,371.83955737084995,-99.78060270708067,0.7316568376624717,-23.89648934100444
vi,xglm_small,483.4006661472539,712.3058487980845,-228.90518265083062,0.6786420004313094,-76.11321097467851
ta,xglm_small,131.57956756829006,200.95309743860724,-69.37352987031718,0.654777504031699,-32.09092266946507
tr,xglm_small,259.06537576952684,360.52129460056466,-101.45591883103782,0.7185855028523497,-28.128485439958013
fr,xglm_small,292.1824332872997,416.1054344614189,-123.92300117411918,0.7021836512793508,-38.03967822702543
fr,xlmr_base,332.66919102475345,415.95756496751983,-83.28837394276638,0.7997671374259776,2.561546795734273
ta,xlmr_base,145.16353502643784,201.07172413643437,-55.90818910999653,0.7219490241598524,-18.59878534954953
es,xlmr_base,307.332776689646,371.79054081458713,-64.45776412494115,0.8266288217453966,11.41527690164412
tr,xlmr_base,285.9206530795041,360.4679742122153,-74.5473211327112,0.7931929423255127,-1.2319322728389466
vi,xlmr_base,564.3561120333445,712.4415248658157,-148.0854128324712,0.7921437652579807,4.737206681824773
mr,xlmr_base,158.82506580636075,198.93923766129956,-40.1141718549388,0.7983596784298809,-3.286475011761979
af,xlmr_base,342.88288518055185,426.11347050680206,-83.2305853262502,0.8046750664153867,4.913450759033822
nl,xlmr_base,308.5114459084468,402.92316706373936,-94.41172115529258,0.7656830659718373,-11.506137792861807
no,xlmr_base,301.72999417059435,355.27152374744026,-53.5415295768459,0.8492940582119153,18.60003419043079
fa,xlmr_base,435.3092215906715,522.8246984834404,-87.51547689276896,0.8326102857293747,22.47463795420765
ro,xlmr_base,186.2035211870672,267.9001668201323,-81.69664563306512,0.6950481718515834,-29.29137913843809
lt,xlmr_base,244.10197373649265,302.48020202715145,-58.3782282906588,0.8070014900167959,1.8383150176296965
fr,nllb200_1B,336.78058865220476,415.8546222968891,-79.07403364468433,0.8098517380715047,6.752633395796067
ta,nllb200_1B,149.60943940951807,201.01913697549304,-51.409697565974966,0.7442547095790064,-14.112172708151917
es,nllb200_1B,312.57245970534325,379.1222068188126,-66.54974711346932,0.8244636006107806,10.9794423907407
tr,nllb200_1B,290.67585755464154,360.39927445332745,-69.72341689868591,0.8065384093670942,3.576453387231993
vi,nllb200_1B,543.243188269172,712.6078152527554,-169.36462698358332,0.762331224330579,-16.504444169074873
mr,nllb200_1B,160.614937964577,200.0298128736194,-39.414874909042396,0.8029549978435211,-2.340828262617862
af,nllb200_1B,344.18694588619735,427.07266741461825,-82.8857215284209,0.8059212685508803,5.474987342790143
nl,nllb200_1B,311.26874085474054,402.82822224993305,-91.5594813951925,0.772708374592521,-8.675345096601347
no,nllb200_1B,306.700660702789,355.375923241502,-48.675262538713014,0.8630316255115716,23.48988400811959
fa,nllb200_1B,444.1659606582083,555.0426694315938,-110.87670877338553,0.800237504466221,6.391116693140873
ro,nllb200_1B,186.17134703651305,267.9550213474053,-81.78367431089225,0.6947858118140685,-29.36601673874182
lt,nllb200_1B,252.51279164206449,303.43986667926805,-50.927075037203565,0.8321674880939991,9.506246715672745
fr,bert_base,324.2180591985986,415.85776010843364,-91.63970090983503,0.7796369102600363,-5.812325069770793
ta,bert_base,141.41059821756372,201.00657479863384,-59.59597658107012,0.7035123023176098,-22.301289390711617
es,bert_base,298.5440834916217,371.6977107739031,-73.15362728228143,0.8031905358524539,2.6984443861159093
tr,bert_base,277.86440188232774,360.51416096787074,-82.649759085543,0.7707447639125921,-9.323937109238386
vi,bert_base,514.9700784323161,712.412384536614,-197.44230610429793,0.7228539110353569,-44.626269092780376
mr,bert_base,153.08888597450897,199.06676206541778,-45.97787609090881,0.7690328831701223,-9.121372787151444
af,bert_base,327.81344242475103,426.20231606120296,-98.38887363645193,0.7691498381667095,-10.224768247740826
nl,bert_base,294.24545702874406,402.7796243943962,-108.53416736565214,0.7305370957410273,-25.66100882633384
no,bert_base,290.27080379219296,355.3254401466269,-65.05463635443391,0.8169153429386065,7.099106576811835
fa,bert_base,411.3442540147448,523.2667643575712,-111.9225103428264,0.786108123109564,-1.8325373293662892
ro,bert_base,174.97786062281298,266.9701511846752,-91.99229056186223,0.6554210642888424,-39.79710510174246
lt,bert_base,232.7335555790728,302.39378266478434,-69.66022708571154,0.7696373699490617,-9.463205028846545
fr,xlmr_large,372.282710223212,415.6919833188822,-43.40927309567019,0.8955734658410036,42.38065546058664
ta,xlmr_large,155.85394498642705,201.03433013484874,-45.18038514842169,0.7752603492243547,-7.879428311056387
es,xlmr_large,343.9375144243739,371.86983294536935,-27.932318520995466,0.9248868393013774,47.95863378818325
tr,xlmr_large,315.810039393922,360.38287577102756,-44.572836377105546,0.87631810673095,28.723329613948067
vi,xlmr_large,600.4639526196404,712.519152236312,-112.05519961667164,0.8427337717660286,40.78495512787026
mr,xlmr_large,166.55460301503825,198.88597803653212,-32.33137502149387,0.8374376346654507,4.484291016348038
af,xlmr_large,376.7930531982548,426.139746131532,-49.346692933277154,0.8842006797506143,38.80327854730035
nl,xlmr_large,336.88488269384084,403.3019834018436,-66.41710070800275,0.8353167020212102,16.57405339664257
no,xlmr_large,333.3441422725282,355.28395728669966,-21.939815014171472,0.9382470990761147,50.20455736264961
