model,avg_rank,avg_rank_se,p@k,p@k_se,mrr,mrr_se,r@k,r@k_se,map,map_se,mean_diag_dist,mean_diag_dist_se,mean_diag_sim,mean_diag_sim_se,mean_margin,mean_margin_se,mean_zmargin,mean_zmargin_se,row_auc,row_auc_se,encod,encod_se,best_layer
xlmr_base,10.660649557778745,1.035455048763086,0.8889613841766952,0.010301065687231228,0.7660041174345528,0.016406570711982486,0.8889613841766952,0.010301065687231228,0.7607711386585496,0.013024665419005278,0.026474987805792778,0.000712147833919185,0.9735250057596149,0.0007121481152211613,0.0020540721172272406,0.0002585730772458353,2.8602388859720627,0.05446520787206549,0.9845674208492741,0.0016541066996116393,0.21719356777310614,0.04166208352836516,9
bert_base,8.789594509690204,0.7985609253998286,0.8732057416267942,0.0119092129131183,0.7214651538909264,0.019888084665911993,0.8732057416267942,0.0119092129131183,0.730986944912908,0.01525000202223049,0.06598235491776105,0.001706164759471912,0.9340176446871324,0.0017061653890011262,0.003823299257254059,0.0007053576418676612,2.8031641628411097,0.055582603451731716,0.9875564424840607,0.0012756696713810487,0.21603757141306335,0.03489122010462546,6
infoxlm_base,3.9576144217292537,0.396860571254358,0.958556860470736,0.005003574653512638,0.8873548136608475,0.009718706482205018,0.958556860470736,0.005003574653512638,0.8649859476305756,0.009935790969302034,0.044334872936209045,0.00109967343365263,0.9556651332161643,0.00109967458191888,0.010816934322726658,0.0005859415806289691,3.675199450367526,0.0558893801446997,0.9952752991183368,0.0006339617350359019,0.2348880516581389,0.03490929897245929,7
mdeberta,1.489343192692475,0.06642695139305853,0.9912039050795032,0.0014223545186235595,0.9592264500115569,0.004733131259875215,0.9912039050795032,0.0014223545186235595,0.9428866629251236,0.005867394382966184,0.07626412537964908,0.0024786380636112604,0.9237358768781027,0.002478637202719881,0.03213768958988966,0.001132924755303957,4.357887692061928,0.049171960404708094,0.9992183016091174,0.00010611334088348391,0.20670528703948496,0.03247330455414299,9
mt5_base,288.0709003914746,1.4609729708360466,0.06947465081436373,0.0032763323291749137,0.04797514834844259,0.0024580715632620104,0.06947465081436373,0.0032763323291749137,0.5022020299143076,9.792940072263119e-05,0.0010038705592953854,2.7945886732119133e-05,0.9989961286385854,2.794551589007954e-05,-0.000885820207644649,2.6291124329214e-05,0.06586654392147707,0.004861519237411122,0.5413697563864951,0.002333276330879298,0.17235665235615807,0.033402539298162885,9
mgpt,141.03763955342902,15.374995971312995,0.42725500620237467,0.047697200814768685,0.3580168100811833,0.042340717387926455,0.42725500620237467,0.047697200814768685,0.588432974078907,0.014019127985793932,0.05204970360630089,0.005361392151711133,0.9479502995808919,0.005361392930057505,-0.021193831145986528,0.004201211460260217,0.8642663710357128,0.07623835468157879,0.7762971342255015,0.024560707092302757,0.1846173730816401,0.052049066927723785,14
infoxlm_large,5.1102170025615,0.9416639422808148,0.9623024503407277,0.007932090051449552,0.9192114888778786,0.013879227527399703,0.9623024503407277,0.007932090051449552,0.9106005145816505,0.013228576869356367,0.030934715826967447,0.0012527514070979331,0.969065291411949,0.0012527497339218955,0.010832707444327147,0.0005997463918196078,4.287173166746417,0.09774034050963314,0.9934341195404833,0.001504266848716076,0.2488783933098864,0.03764554221659856,14
xglm_small,163.26140350877193,16.032412003443802,0.3291866028708134,0.04479541123116557,0.25665850470341706,0.041862938694308585,0.3291866028708134,0.04479541123116557,0.5337670332130166,0.011101955021230372,0.011276187328621744,0.0013758106481851357,0.9887238442897797,0.0013758226652236354,-0.005512726120650768,0.0010470227711937125,0.5720462316488181,0.04493664924310041,0.7407941870359896,0.025611195485719565,0.26602775619828956,0.07305922581941295,10
multiminilm,7.060799381373545,0.5056527061841043,0.8990865593736409,0.007317719777651571,0.7535424980304609,0.012768666707576558,0.8990865593736409,0.007317719777651571,0.7415946897529279,0.01059777648422159,0.06413473473918258,0.001930062144367261,0.9358652703689806,0.0019300630491434797,0.005167423130277519,0.0005728412620214826,2.8035363311977872,0.030998404770209684,0.9903181732484513,0.0008077567442669882,0.24713106889984193,0.03396863808508747,9
distilmbert,82.11410758300713,7.34213298751138,0.4799429703735924,0.035142984397777556,0.34908485803441136,0.03378542761459055,0.4799429703735924,0.035142984397777556,0.580991881992317,0.014428403099239115,0.09622050229121339,0.003178854653251922,0.9037794967492422,0.003178854799050686,-0.008234488917106788,0.0011594849659109707,1.8191664317116647,0.09862807404321873,0.8704242850412806,0.011728692404723665,0.13984679848507434,0.02775242671741877,4
