model,language,mrr,r,r_last
nllb200_distilled_1B,tr,0.5542965582323025,0.09345277472239867,0.001744919915697489
nllb200_distilled_1B,vi,0.7146002981943492,0.1713290625352258,0.14462026459289706
nllb200_distilled_1B,mr,0.718595760284725,0.3577421977288103,0.39935259447412413
nllb200_distilled_600M,af,0.518221980271571,-0.03394500960844106,-0.029580871620269473
nllb200_distilled_600M,nl,0.6224472649018163,0.10626277969148025,0.1678907123727327
nllb200_distilled_600M,fa,0.5838710502732073,0.5521744021461823,0.5017787186818783
nllb200_distilled_600M,fr,0.7139492878595576,0.4065616282588607,0.3481321065413061
nllb200_distilled_600M,lt,0.24237697640066658,0.31786992812945813,0.2819938802376242
nllb200_distilled_600M,no,0.5245656601557522,0.1889252617656648,0.18474838138965605
nllb200_distilled_600M,ro,0.5310652850475459,0.096931796485053,-0.002032625280188631
nllb200_distilled_600M,es,0.6587819305087651,0.06964829329786372,0.013948112414378839
nllb200_distilled_600M,ta,0.4983472391347785,0.701723217248121,0.6189143253200465
nllb200_distilled_600M,tr,0.39315744128464125,-0.015579984251867936,-0.0318188325313303
nllb200_distilled_600M,vi,0.570123285570641,0.21313534999796319,0.27128443934452057
nllb200_distilled_600M,mr,0.5120336465978501,0.45483269839835083,0.44448402208983595
mt5_large,af,0.26963599926302423,0.3440160599791238,0.1017512849804804
mt5_large,nl,0.31130299019985463,0.051105984229392915,-0.06964207183713836
mt5_large,fa,0.27940914440083015,0.6001085281943835,0.557370566677753
mt5_large,fr,0.3180179117075134,0.4922519007030283,0.43549400806249905
mt5_large,lt,0.24749583133304373,0.3127148011433754,0.12333022022647755
mt5_large,no,0.26419128155167876,0.0008620918893893609,-0.02523280071893754
mt5_large,ro,0.3144611213750103,0.03119049280821277,0.12088949839090307
mt5_large,es,0.31366537788341786,0.4466525996275765,0.2794112615981734
mt5_large,ta,0.20554533339639736,0.6544346855123043,0.6633822418847181
mt5_large,tr,0.25793301139525693,0.2323684718490636,0.1394868660765976
mt5_large,vi,0.08262063019418431,0.2738116639915835,0.11668055770866753
mt5_large,mr,0.14419527963301934,0.23708230501806873,0.23798038712573333
xlm_align,af,0.6712484212305282,0.06139307077621946,0.09560359681714159
xlm_align,nl,0.8549023273508219,0.23764100944879313,0.1312924002678838
xlm_align,fa,0.832554655565255,0.6348068557788803,0.5767960669799308
xlm_align,fr,0.8470041125427463,0.4872554082940004,0.5252613189198145
xlm_align,lt,0.6856529926285236,0.5287037405414542,0.3674000274065729
xlm_align,no,0.8492087339710149,0.2774061916617642,0.07038215168173761
xlm_align,ro,0.838807587675901,0.01723637760938723,0.05460658928406193
xlm_align,es,0.8759854019872164,0.3718700027185341,0.32578847628826574
xlm_align,ta,0.674811808886519,0.700496157696225,0.6166916698702831
xlm_align,tr,0.826783526626335,0.004836459419474667,0.1697361333698187
xlm_align,vi,0.8110332958378978,0.21785059570239884,0.18970252414291147
xlm_align,mr,0.6873255196848663,0.3454192888032625,0.4267590962035036
xglm_xl,es,0.7480943485594503,0.3465470189829129,0.4399637368659089
xglm_xl,vi,0.8019202626505662,0.32809893014948344,0.05213553150542519
